"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,267,"重度污染",217,252,101,2.2,128,36,96
2013-12-03,200,"中度污染",150,152,48,1.6,104,85,67
2013-12-04,158,"中度污染",121,140,36,1.5,99,95,55
2013-12-05,288,"重度污染",238,251,34,2.2,128,66,89
2013-12-06,468,"严重污染",452,472,62,3,127,20,112
2013-12-07,216,"重度污染",166,147,32,1.7,80,82,60
2013-12-08,142,"轻度污染",108,85,22,1.1,60,85,39
2013-12-09,230,"重度污染",180,168,46,1.8,73,43,102
2013-12-10,104,"轻度污染",79,102,56,1.2,65,36,41
2013-12-11,148,"轻度污染",113,148,68,1.5,70,39,94
2013-12-12,126,"轻度污染",95,137,49,1.2,77,47,60
2013-12-13,154,"中度污染",118,146,46,1.4,69,51,76
2013-12-14,71,"良",52,73,26,0.8,60,55,20
2013-12-15,119,"轻度污染",90,103,34,0.9,46,81,58
2013-12-16,32,"优",22,24,18,0.5,35,52,16
2013-12-17,24,"优",13,12,15,0.7,30,47,16
2013-12-18,64,"良",46,59,22,0.7,29,61,41
2013-12-19,132,"轻度污染",101,114,47,1.1,53,47,62
2013-12-20,255,"重度污染",205,221,90,1.7,73,24,96
2013-12-21,82,"良",61,67,38,1,46,42,18
2013-12-22,75,"良",55,63,26,0.7,46,42,8
2013-12-23,76,"良",56,63,26,0.9,50,53,8
2013-12-24,173,"中度污染",131,142,58,1.4,54,43,50
2013-12-25,142,"轻度污染",109,125,40,1.4,68,34,37
2013-12-26,270,"重度污染",220,244,81,1.7,73,17,101
2013-12-27,72,"良",53,70,40,1,44,36,35
2013-12-28,134,"轻度污染",102,118,72,1.5,75,29,86
2013-12-29,201,"重度污染",151,181,81,1.9,83,27,113
2013-12-30,181,"中度污染",137,172,69,1.6,94,43,110
2013-12-31,144,"轻度污染",110,141,59,1.3,94,50,128
2014-01-01,195,"中度污染",147,181,63,1.7,99,61,168
2014-01-02,147,"轻度污染",113,131,37,1.6,95,60,94
2014-01-03,189,"中度污染",142,163,56,1.4,96,45,122
2014-01-04,151,"中度污染",115,125,36,1.2,64,38,121
2014-01-05,65,"良",47,60,25,1,63,31,6
2014-01-06,43,"优",30,39,20,0.8,50,61,3
2014-01-07,63,"良",46,51,18,0.9,58,59,19
2014-01-08,54,"良",38,36,17,0.7,39,61,43
2014-01-09,53,"良",29,55,19,0.6,29,58,23
2014-01-10,64,"良",46,78,25,0.8,47,61,20
2014-01-11,61,"良",44,55,21,0.8,44,56,20
