"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,112,"轻度污染",84,110,24,2.2,73,5,34
2013-12-03,82,"良",61,48,9,2,51,7,12
2013-12-04,94,"良",70,62,11,2.5,53,4,16
2013-12-05,99,"良",74,109,29,1.7,54,7,37
2013-12-06,55,"良",39,43,9,1.2,45,21,6
2013-12-07,86,"良",63,62,23,1.4,46,26,10
2013-12-08,65,"良",47,53,11,1.4,44,29,8
2013-12-09,96,"良",72,95,26,2.3,61,15,44
2013-12-10,154,"中度污染",118,161,23,3.4,68,9,91
2013-12-11,173,"中度污染",131,192,22,3.2,69,15,109
2013-12-12,137,"轻度污染",105,149,26,3.1,85,10,70
2013-12-13,154,"中度污染",118,177,45,3.1,73,7,77
2013-12-14,169,"中度污染",128,171,23,2.5,69,6,83
2013-12-15,153,"中度污染",117,151,34,2.4,66,5,74
2013-12-16,129,"轻度污染",98,135,31,2.4,61,7,70
2013-12-17,106,"轻度污染",80,116,28,2.3,59,10,74
2013-12-18,98,"良",73,103,29,1.6,53,6,69
2013-12-19,89,"良",66,93,26,1.5,58,17,40
2013-12-20,123,"轻度污染",93,134,41,2,67,9,54
2013-12-21,101,"轻度污染",76,115,49,1.5,58,14,35
2013-12-22,99,"良",74,98,35,2.5,75,15,17
2013-12-23,93,"良",70,102,44,1.7,66,14,15
2013-12-24,135,"轻度污染",103,141,52,2.2,63,18,39
2013-12-25,158,"中度污染",121,159,83,2.3,74,10,41
2013-12-26,249,"重度污染",199,249,66,3.2,87,8,95
2013-12-27,185,"中度污染",140,174,80,2.8,78,10,111
2013-12-28,204,"重度污染",154,231,65,4.1,96,11,112
2013-12-29,296,"重度污染",246,374,48,5.2,119,9,114
2013-12-30,181,"中度污染",137,206,50,3.8,104,11,109
2013-12-31,269,"重度污染",219,337,63,5,112,9,187
2014-01-01,196,"中度污染",147,208,49,3.9,91,16,171
2014-01-02,184,"中度污染",138,179,38,3.5,84,12,136
2014-01-03,248,"重度污染",198,287,71,4.2,94,13,164
2014-01-04,251,"重度污染",201,250,104,2.6,101,8,179
2014-01-05,132,"轻度污染",101,158,41,2,73,21,69
2014-01-06,135,"轻度污染",103,143,54,1.8,65,17,66
2014-01-07,184,"中度污染",139,186,61,2.9,70,13,136
2014-01-08,180,"中度污染",136,184,83,2.3,69,15,174
2014-01-09,240,"重度污染",190,273,70,3.8,78,13,186
2014-01-10,249,"重度污染",199,311,41,4.5,71,10,177
2014-01-11,197,"中度污染",148,306,39,3.9,46,12,141
2014-01-12,142,"轻度污染",109,232,54,2.3,41,16,137
2014-01-13,125,"轻度污染",73,199,40,2.2,43,12,133
2014-01-14,230,"重度污染",149,371,34,3.7,46,11,168
2014-01-15,289,"重度污染",238,412,50,4.8,59,11,160
2014-01-16,209,"重度污染",159,255,53,4,63,12,131
2014-01-17,136,"轻度污染",104,184,43,2.9,67,22,65
2014-01-18,83,"良",60,116,19,1.8,52,22,21
2014-01-19,92,"良",68,131,35,2.3,54,22,19
2014-01-20,129,"轻度污染",98,144,33,2.7,62,13,95
2014-01-21,146,"轻度污染",112,143,41,3.3,72,7,167
2014-01-22,95,"良",71,108,42,2.7,74,18,87
2014-01-23,81,"良",60,90,41,2.1,75,17,29
2014-01-24,107,"轻度污染",80,122,47,2.4,70,19,77
2014-01-25,117,"轻度污染",88,144,61,2.6,74,19,87
2014-01-26,93,"良",69,112,57,3,84,13,106
2014-01-27,94,"良",70,109,64,2.3,72,22,101
2014-01-28,58,"良",41,59,44,1.8,63,16,42
2014-01-29,81,"良",60,100,31,2.2,54,18,67
