"日期","AQI","质量等级","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
"2015-04-01",98,"良",63,147,14,0.8,40,74,315
"2015-04-02",185,"中度污染",90,320,21,1,54,90,349
"2015-04-03",111,"轻度污染",53,173,6,0.8,30,72,331
"2015-04-04",114,"轻度污染",56,178,16,0.9,39,59,310
"2015-04-05",66,"良",23,82,19,0.7,31,88,178
"2015-04-06",47,"优",26,47,9,0.8,31,89,115
"2015-04-07",50,"优",23,50,8,1,35,94,170
"2015-04-08",52,"良",27,53,9,1,31,83,137
"2015-04-09",55,"良",30,60,9,0.8,29,84,114
"2015-04-10",78,"良",44,106,20,1.1,47,96,230
"2015-04-11",92,"良",34,133,9,0.6,34,91,277
"2015-04-12",113,"轻度污染",40,175,15,0.5,31,88,349
"2015-04-13",95,"良",35,140,33,1,61,85,330
"2015-04-14",105,"轻度污染",42,159,25,1.1,57,78,321
"2015-04-15",148,"轻度污染",67,246,34,1.2,57,123,332
"2015-04-16",199,"中度污染",90,348,22,0.8,41,127,362
"2015-04-17",154,"中度污染",72,257,23,1.1,43,113,349
"2015-04-18",90,"良",40,130,7,0.6,20,111,217
"2015-04-19",68,"良",22,65,11,0.7,30,121,229
"2015-04-20",55,"良",26,61,9,0.7,36,99,121
"2015-04-21",62,"良",31,63,10,0.9,44,114,125
"2015-04-22",88,"良",49,126,27,1,62,137,269
"2015-04-23",69,"良",32,88,21,1,54,100,130
"2015-04-24",95,"良",52,141,36,1.1,61,116,261
"2015-04-25",72,"良",40,86,17,0.8,48,126,117
"2015-04-26",69,"良",38,89,19,0.9,54,115,82
"2015-04-27",95,"良",53,121,27,1.1,64,154,235
"2015-04-28",81,"良",51,111,26,1,52,120,202
"2015-04-29",72,"良",43,93,17,0.9,49,125,151
"2015-04-30",92,"良",58,133,9,0.7,36,94,202
"2015-05-01",70,"良",38,68,8,0.8,37,124,157
"2015-05-02",67,"良",34,83,16,0.8,40,105,211
"2015-05-03",60,"良",22,40,7,0.5,21,112,109
"2015-05-04",71,"良",31,77,11,0.8,40,125,199
"2015-05-05",67,"良",35,85,17,0.9,49,93,119
"2015-05-06",110,"轻度污染",60,170,12,0.9,46,104,298
"2015-05-07",99,"良",56,147,19,0.8,44,92,264
"2015-05-08",82,"良",43,114,20,0.8,38,111,281
"2015-05-09",69,"良",37,88,19,1.1,49,90,217
"2015-05-10",118,"轻度污染",61,185,6,0.9,26,69,330
"2015-05-11",78,"良",37,105,11,0.8,42,101,329
"2015-05-12",102,"轻度污染",45,155,22,1.2,74,91,346
"2015-05-13",100,"良",49,151,19,1,59,115,302
"2015-05-14",107,"轻度污染",50,164,11,0.9,57,85,305
"2015-05-15",108,"轻度污染",55,165,20,0.8,51,107,331
"2015-05-16",91,"良",47,133,16,0.7,51,97,267
"2015-05-17",92,"良",52,135,15,0.9,52,139,244
"2015-05-18",358,"严重污染",143,466,19,0.8,51,112,361
"2015-05-19",120,"轻度污染",64,189,14,0.7,43,100,317
"2015-05-20",52,"良",25,54,8,0.6,32,91,100
"2015-05-21",62,"良",32,52,7,0.7,32,114,145
"2015-05-22",74,"良",48,99,11,0.8,49,102,179
"2015-05-23",65,"良",32,71,14,0.8,42,118,135
"2015-05-24",73,"良",33,96,17,0.9,49,99,165
"2015-05-25",64,"良",23,78,7,0.7,32,65,122
"2015-05-26",74,"良",33,99,13,1.1,48,98,160
"2015-05-27",164,"中度污染",89,277,11,0.9,54,64,334
"2015-05-28",48,"优",22,48,6,0.7,28,55,52
"2015-05-29",61,"良",27,72,7,0.8,42,95,178
"2015-05-30",64,"良",31,78,14,0.7,53,104,189
"2015-05-31",83,"良",34,116,18,0.8,57,80,209
"2015-06-01",149,"轻度污染",80,248,6,0.6,41,92,339
"2015-06-02",114,"轻度污染",48,177,12,0.7,45,65,340
"2015-06-03",70,"良",27,90,7,0.5,38,71,271
"2015-06-04",62,"良",17,52,8,0.5,29,114,190
"2015-06-05",89,"良",40,127,22,0.8,57,137,268
"2015-06-06",79,"良",33,108,16,0.7,42,104,214
"2015-06-07",80,"良",35,110,13,0.5,36,87,252
"2015-06-08",81,"良",37,111,18,1,55,135,279
"2015-06-09",106,"轻度污染",56,163,36,1,61,102,291
"2015-06-10",125,"轻度污染",65,199,6,0.5,27,92,327
"2015-06-11",97,"良",42,144,17,0.8,45,126,312
"2015-06-12",70,"良",28,89,15,0.8,48,104,208
"2015-06-13",72,"良",30,93,21,1.1,50,101,226
"2015-06-14",69,"良",26,88,8,0.7,37,117,195
"2015-06-15",68,"良",28,85,8,0.7,36,110,197
"2015-06-16",72,"良",32,94,10,0.7,45,99,198
"2015-06-17",79,"良",38,109,14,0.8,58,83,232
"2015-06-18",78,"良",34,99,8,0.8,52,133,255
"2015-06-19",63,"良",32,75,10,0.6,23,105,164
"2015-06-20",83,"良",38,66,4,0.6,31,139,260
"2015-06-21",73,"良",45,95,13,1,51,126,186
"2015-06-22",69,"良",38,89,10,0.9,53,82,210
"2015-06-23",68,"良",37,64,7,0.8,38,121,211
"2015-06-24",63,"良",38,76,7,0.9,45,73,235
"2015-06-25",70,"良",48,88,7,1,47,124,275
"2015-06-26",66,"良",30,82,9,0.8,42,98,247
"2015-06-27",51,"良",17,51,5,0.7,23,74,181
"2015-06-28",74,"良",37,98,7,0.9,32,51,258
"2015-06-29",133,"轻度污染",77,217,9,1,60,64,358
"2015-06-30",97,"良",53,145,5,0.8,42,73,356
"2015-07-01",77,"良",44,105,9,0.7,44,65,275
"2015-07-02",64,"良",46,71,6,1,39,39,211
"2015-07-03",85,"良",63,87,9,1,48,46,281
"2015-07-04",117,"轻度污染",89,122,10,1.3,61,40,340
"2015-07-05",66,"良",48,68,8,0.9,44,70,203
"2015-07-06",80,"良",48,109,18,1.2,61,90,258
"2015-07-07",77,"良",39,104,12,0.9,46,69,242
"2015-07-08",59,"良",40,68,7,0.7,30,47,119
"2015-07-09",48,"优",33,46,8,0.7,33,90,80
"2015-07-10",72,"良",38,94,13,1.1,47,68,220
"2015-07-11",65,"良",36,81,6,1,30,63,200
"2015-07-12",78,"良",53,105,6,0.9,30,61,232
"2015-07-13",75,"良",42,100,11,1,37,95,163
"2015-07-14",65,"良",41,79,8,1.1,44,72,127
"2015-07-15",72,"良",38,93,9,1.2,49,93,194
"2015-07-16",73,"良",39,95,11,1,42,73,238
"2015-07-17",71,"良",45,92,12,1.3,52,103,226
"2015-07-18",83,"良",37,94,14,1.3,55,140,275
"2015-07-19",93,"良",41,129,20,1.3,58,152,316
"2015-07-20",131,"轻度污染",30,82,20,1.4,38,194,351
"2015-07-21",87,"良",37,123,21,1.3,56,110,292
"2015-07-22",67,"良",38,84,19,1.2,46,120,205
"2015-07-23",84,"良",28,60,10,1,43,140,306
"2015-07-24",88,"良",45,124,24,1.4,70,132,289
