"日期","AQI","质量等级","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
"2015-04-01",80,"良",59,78,5,0.7,49,79,266
"2015-04-02",50,"优",35,19,4,0.7,26,88,99
"2015-04-03",62,"良",28,40,4,0.6,27,114,163
"2015-04-04",84,"良",62,75,5,0.6,36,134,260
"2015-04-05",74,"良",53,99,3,0.5,30,104,217
"2015-04-06",38,"优",20,32,2,0.3,14,76,47
"2015-04-07",45,"优",23,39,4,0.3,23,89,117
"2015-04-08",126,"轻度污染",96,123,12,0.8,49,99,343
"2015-04-09",212,"重度污染",162,190,17,1.2,59,120,349
"2015-04-10",200,"中度污染",150,186,9,1.1,62,126,362
"2015-04-11",188,"中度污染",141,77,16,1.7,46,130,360
"2015-04-12",44,"优",12,26,2,0.3,12,87,20
"2015-04-13",67,"良",26,39,3,0.4,22,120,181
"2015-04-14",74,"良",54,84,5,0.7,54,114,131
"2015-04-15",168,"中度污染",109,286,14,0.9,70,101,348
"2015-04-16",91,"良",26,132,3,0.2,13,95,152
"2015-04-17",112,"轻度污染",67,173,16,0.7,55,100,263
"2015-04-18",182,"中度污染",138,273,27,1.5,89,99,363
"2015-04-19",91,"良",60,133,6,0.6,30,100,309
"2015-04-20",90,"良",67,112,7,0.8,43,127,323
"2015-04-21",90,"良",63,129,8,0.6,44,111,291
"2015-04-22",84,"良",43,100,8,0.6,49,141,256
"2015-04-23",79,"良",54,108,11,0.6,49,115,191
"2015-04-24",103,"轻度污染",52,155,7,0.6,47,139,294
"2015-04-25",115,"轻度污染",72,158,12,0.8,64,177,285
"2015-04-26",161,"中度污染",98,182,20,1,53,226,355
"2015-04-27",114,"轻度污染",81,134,12,0.9,46,175,303
"2015-04-28",78,"良",43,68,5,0.7,39,134,182
"2015-04-29",150,"轻度污染",115,136,11,1.3,48,196,348
"2015-04-30",149,"轻度污染",114,146,11,1.1,43,209,340
"2015-05-01",165,"中度污染",125,141,13,1.1,45,171,357
"2015-05-02",88,"良",45,68,3,0.6,30,145,324
"2015-05-03",72,"良",40,94,2,0.4,24,113,188
"2015-05-04",66,"良",23,65,4,0.3,20,119,164
"2015-05-05",72,"良",43,94,7,0.5,37,114,144
"2015-05-06",60,"良",19,70,3,0.3,24,100,88
"2015-05-07",89,"良",42,129,6,0.6,37,119,221
"2015-05-08",83,"良",52,115,11,1,37,119,289
"2015-05-09",55,"良",39,52,7,1,33,100,122
"2015-05-10",49,"优",34,35,4,1.3,46,46,61
"2015-05-11",42,"优",24,20,2,0.8,30,84,54
"2015-05-12",54,"良",19,44,2,0.5,41,105,83
"2015-05-13",98,"良",57,133,4,0.8,66,158,292
"2015-05-14",57,"良",20,62,5,0.3,29,108,102
"2015-05-15",67,"良",23,47,3,0.4,26,120,208
"2015-05-16",116,"轻度污染",46,96,8,0.7,43,178,330
"2015-05-17",166,"中度污染",126,182,15,1.2,43,165,358
"2015-05-18",75,"良",55,93,3,0.5,33,105,183
"2015-05-19",49,"优",11,49,2,0.3,16,93,86
"2015-05-20",63,"良",16,37,2,0.3,22,116,152
"2015-05-21",91,"良",33,84,6,0.5,43,149,292
"2015-05-22",137,"轻度污染",52,89,12,0.8,41,201,355
"2015-05-23",179,"中度污染",95,139,16,1,53,244,362
"2015-05-24",178,"中度污染",115,164,16,1.2,56,243,360
"2015-05-25",203,"重度污染",101,166,24,1.2,47,281,364
"2015-05-26",191,"中度污染",87,149,19,0.9,38,256,353
"2015-05-27",160,"中度污染",92,141,11,0.9,33,225,329
"2015-05-28",151,"中度污染",116,151,23,1.2,36,197,338
"2015-05-29",104,"轻度污染",61,94,5,0.8,42,164,329
"2015-05-30",136,"轻度污染",54,90,6,0.8,39,200,353
"2015-05-31",153,"中度污染",55,102,15,0.9,44,218,344
"2015-06-01",159,"中度污染",88,166,14,1,46,224,347
"2015-06-02",103,"轻度污染",30,63,4,0.5,26,163,319
"2015-06-03",75,"良",32,101,6,0.5,36,128,288
"2015-06-04",70,"良",51,90,7,3.4,55,96,239
"2015-06-05",68,"良",49,52,5,6.8,45,65,173
"2015-06-06",79,"良",25,62,3,5,32,135,215
"2015-06-07",43,"优",14,32,4,2.6,30,86,78
"2015-06-08",69,"良",18,35,4,0.5,35,123,237
"2015-06-09",134,"轻度污染",49,87,15,1.1,49,197,330
"2015-06-10",100,"良",75,74,4,1.1,34,154,284
"2015-06-11",48,"优",20,25,3,0.6,21,96,99
"2015-06-12",44,"优",8,22,3,0.4,22,87,54
"2015-06-13",65,"良",11,27,3,0.4,18,118,188
"2015-06-14",98,"良",19,37,3,0.5,29,158,286
"2015-06-15",166,"中度污染",85,121,15,1.2,40,231,361
"2015-06-16",177,"中度污染",104,144,12,1.2,50,242,357
"2015-06-17",126,"轻度污染",42,67,3,0.8,36,189,321
"2015-06-18",53,"良",19,32,2,0.5,28,103,138
"2015-06-19",35,"优",14,33,2,0.5,24,70,32
"2015-06-20",103,"轻度污染",23,39,2,0.6,37,163,332
"2015-06-21",137,"轻度污染",41,73,5,0.6,39,201,351
"2015-06-22",163,"中度污染",90,117,16,1.1,38,228,355
"2015-06-23",231,"重度污染",181,178,15,1.7,39,238,366
"2015-06-24",159,"中度污染",121,123,9,1.1,43,190,363
"2015-06-25",164,"中度污染",125,111,6,1,51,128,365
"2015-06-26",139,"轻度污染",106,23,2,0.9,24,200,358
"2015-06-27",120,"轻度污染",89,51,4,0.8,32,182,341
"2015-06-28",197,"中度污染",148,57,8,1.2,34,219,365
"2015-06-29",154,"中度污染",118,39,5,1.1,42,178,365
"2015-06-30",52,"良",15,20,2,0.4,27,102,179
"2015-07-01",41,"优",18,38,3,0.4,34,82,86
"2015-07-02",46,"优",8,20,4,0.3,28,92,100
"2015-07-03",116,"轻度污染",24,60,11,0.9,34,178,336
"2015-07-04",92,"良",33,59,6,0.7,45,150,301
"2015-07-05",160,"中度污染",62,71,9,1,36,225,364
"2015-07-06",156,"中度污染",69,76,10,1.1,33,221,363
"2015-07-07",160,"中度污染",67,86,7,0.9,32,225,361
"2015-07-08",175,"中度污染",125,132,8,1.1,35,240,359
"2015-07-09",172,"中度污染",72,92,11,0.8,37,237,360
"2015-07-10",145,"轻度污染",50,82,9,0.7,32,210,354
"2015-07-11",181,"中度污染",103,126,10,1.1,35,246,364
"2015-07-12",200,"中度污染",108,158,5,0.9,46,267,366
"2015-07-13",176,"中度污染",49,84,3,0.6,43,241,356
"2015-07-14",147,"轻度污染",35,65,4,0.6,30,212,338
"2015-07-15",85,"良",34,62,3,0.6,47,142,255
"2015-07-16",54,"良",37,47,2,0.7,29,105,104
"2015-07-17",50,"优",35,43,2,0.8,32,91,106
"2015-07-18",78,"良",47,30,2,0.8,26,134,258
"2015-07-19",89,"良",66,33,2,0.9,32,124,304
"2015-07-20",118,"轻度污染",89,144,2,0.9,33,142,345
"2015-07-21",176,"中度污染",133,0,2,1.1,33,151,361
"2015-07-22",110,"轻度污染",62,55,2,0.7,35,171,342
"2015-07-23",70,"良",41,54,2,0.8,48,123,248
"2015-07-24",138,"轻度污染",50,77,2,0.9,46,201,359
"2015-07-25",158,"中度污染",90,108,3,1,38,223,362
"2015-07-26",151,"中度污染",104,123,4,1,33,216,359
"2015-07-27",130,"轻度污染",75,133,3,0.9,33,192,346
"2015-07-28",109,"轻度污染",52,76,2,0.8,30,169,339
"2015-07-29",138,"轻度污染",86,55,2,0.9,35,201,357
"2015-07-30",75,"良",44,52,2,0.9,28,129,269
"2015-07-31",85,"良",26,41,2,0.7,26,142,305
"2015-08-01",90,"良",67,72,3,1.3,47,100,306
"2015-08-02",102,"轻度污染",74,88,2,1.2,27,162,328
"2015-08-03",82,"良",60,33,4,1.1,33,101,299
"2015-08-04",110,"轻度污染",21,54,4,0.5,32,171,341
"2015-08-05",127,"轻度污染",64,102,3,1,40,189,340
"2015-08-06",119,"轻度污染",58,95,2,0.8,31,180,347
"2015-08-07",119,"轻度污染",90,0,4,1.1,33,167,355
"2015-08-08",110,"轻度污染",40,72,3,0.7,34,171,350
"2015-08-09",152,"中度污染",53,85,3,0.8,37,217,364
"2015-08-10",112,"轻度污染",42,80,2,0.7,38,173,348
"2015-08-11",175,"中度污染",91,128,6,1.4,36,240,365
"2015-08-12",161,"中度污染",81,129,4,1,36,226,356
"2015-08-13",202,"重度污染",120,160,7,1.3,41,275,362
"2015-08-14",119,"轻度污染",58,95,4,0.8,35,180,317
"2015-08-15",80,"良",22,54,3,0.6,36,135,257
"2015-08-16",201,"重度污染",38,89,6,0.7,40,270,359
"2015-08-17",145,"轻度污染",80,161,8,1,40,209,348
"2015-08-18",90,"良",48,82,3,0.8,34,147,280
"2015-08-19",97,"良",51,65,2,0.8,38,156,339
"2015-08-20",100,"良",33,51,2,0.6,26,160,342
"2015-08-21",94,"良",14,37,2,0.4,25,152,298
"2015-08-22",56,"良",17,38,4,0.6,20,107,114
"2015-08-23",53,"良",21,33,4,0.8,23,103,102
"2015-08-24",55,"良",13,28,2,0.5,22,106,132
"2015-08-25",50,"优",14,27,2,0.5,23,99,84
"2015-08-26",61,"良",12,27,2,0.4,23,113,130
"2015-08-27",60,"良",12,26,2,0.4,25,111,136
"2015-08-28",70,"良",16,38,3,0.5,24,124,185
"2015-08-29",118,"轻度污染",28,48,2,0.6,21,179,344
"2015-08-30",74,"良",28,32,2,0.9,25,128,214
"2015-08-31",37,"优",25,29,2,0.7,25,73,44
"2015-09-01",34,"优",11,20,2,0.5,20,67,42
"2015-09-02",44,"优",10,19,2,0.4,20,87,96
"2015-09-03",74,"良",15,30,2,0.5,19,128,257
"2015-09-04",64,"良",46,0,3,1.5,26,101,233
