"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,180,"中度污染",136,253,87,2,120,25,65
2013-12-03,234,"重度污染",184,297,108,2.5,133,17,76
2013-12-04,386,"严重污染",336,455,51,2.5,130,43,109
2013-12-05,328,"严重污染",278,386,52,2.3,110,59,99
2013-12-06,319,"严重污染",269,389,61,2.2,92,36,99
2013-12-07,366,"严重污染",316,429,44,2.9,95,44,96
2013-12-08,277,"重度污染",227,325,29,2.6,86,27,89
2013-12-09,204,"重度污染",154,244,35,1.6,53,45,94
2013-12-10,97,"良",72,144,42,1,73,37,36
2013-12-11,124,"轻度污染",94,186,52,1.2,74,44,70
2013-12-12,149,"轻度污染",114,234,64,1.7,94,31,85
2013-12-13,163,"中度污染",124,223,61,1.4,87,21,84
2013-12-14,149,"轻度污染",114,209,58,1.5,98,32,71
2013-12-15,212,"重度污染",162,253,66,1.4,82,34,88
2013-12-16,61,"良",43,73,32,0.7,62,21,43
2013-12-17,75,"良",55,79,22,0.7,53,19,55
2013-12-18,137,"轻度污染",105,151,62,1.1,53,41,87
2013-12-19,228,"重度污染",178,244,74,1.4,67,38,93
2013-12-20,240,"重度污染",190,260,80,1.5,74,36,92
2013-12-21,151,"中度污染",116,172,68,1.1,79,43,79
2013-12-22,129,"轻度污染",98,154,49,1.2,82,32,42
2013-12-23,160,"中度污染",122,183,52,1.1,92,39,50
2013-12-24,264,"重度污染",214,298,88,1.8,105,42,79
2013-12-25,307,"严重污染",257,383,138,2.7,136,22,82
2013-12-26,286,"重度污染",236,363,91,2.1,98,27,105
2013-12-27,86,"良",46,123,43,0.8,55,47,53
2013-12-28,110,"轻度污染",83,158,43,1.2,79,37,63
2013-12-29,145,"轻度污染",111,201,61,1.3,82,38,90
2013-12-30,143,"轻度污染",109,210,67,1.6,88,59,83
2013-12-31,151,"中度污染",116,218,45,1.5,90,60,144
2014-01-01,177,"中度污染",134,248,45,1.9,96,55,161
2014-01-02,209,"重度污染",159,288,76,2.4,130,46,156
