"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,144,"轻度污染",110,198,108,1.7,89,60,54
2013-12-03,139,"轻度污染",106,191,54,1.7,81,48,45
2013-12-04,147,"轻度污染",113,174,57,1.5,56,88,53
2013-12-05,239,"重度污染",189,279,57,2.2,91,67,83
2013-12-06,214,"重度污染",164,244,70,2.1,73,65,85
2013-12-07,305,"严重污染",255,354,111,2.7,93,76,83
2013-12-08,239,"重度污染",189,267,49,2.3,73,47,76
2013-12-09,166,"中度污染",126,180,57,1.7,50,45,76
2013-12-10,118,"轻度污染",89,131,46,1.3,43,60,64
2013-12-11,111,"轻度污染",84,130,59,1.1,55,49,62
2013-12-12,106,"轻度污染",80,135,71,1.2,65,23,43
2013-12-13,120,"轻度污染",91,135,51,1.4,57,56,54
2013-12-14,162,"中度污染",123,177,84,1.4,72,34,80
2013-12-15,146,"轻度污染",112,152,60,1.6,66,29,71
2013-12-16,71,"良",52,52,21,1.1,33,36,46
2013-12-17,15,"优",10,12,18,0.8,30,30,2
2013-12-18,44,"优",29,44,25,0.7,25,44,25
2013-12-19,127,"轻度污染",96,128,37,1.4,43,53,60
2013-12-20,181,"中度污染",137,171,63,1.5,43,73,67
2013-12-21,124,"轻度污染",94,119,53,1.1,39,51,66
2013-12-22,97,"良",72,95,51,1,47,44,15
2013-12-23,87,"良",65,94,61,1.1,47,38,13
2013-12-24,110,"轻度污染",83,116,62,1.3,49,49,29
2013-12-25,149,"轻度污染",114,153,67,1.5,54,58,39
2013-12-26,182,"中度污染",137,192,72,1.8,53,55,76
2013-12-27,63,"良",42,76,22,0.7,23,45,18
2013-12-28,69,"良",51,88,38,0.9,43,47,20
2013-12-29,96,"良",72,114,46,1.2,51,53,40
2013-12-30,120,"轻度污染",91,153,70,1.4,62,54,51
2013-12-31,144,"轻度污染",110,185,67,1.7,69,41,130
2014-01-01,159,"中度污染",121,192,57,1.9,73,47,141
2014-01-02,171,"中度污染",129,192,52,1.9,73,47,122
