"日期","AQI","质量等级","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
"2015-04-01",94,"良",70,107,29,1.2,23,61,306
"2015-04-02",59,"良",42,47,22,0.8,14,46,176
"2015-04-03",92,"良",68,82,19,0.9,15,46,291
"2015-04-04",80,"良",59,57,19,1.2,15,35,241
"2015-04-05",91,"良",68,54,18,0.8,13,38,272
"2015-04-06",91,"良",68,51,16,0.7,13,47,296
"2015-04-07",51,"良",30,52,17,0.5,11,37,175
"2015-04-08",52,"良",34,54,21,0.7,19,49,133
"2015-04-09",100,"良",75,111,31,1,33,63,316
"2015-04-10",125,"轻度污染",95,140,27,1.3,41,82,327
"2015-04-11",131,"轻度污染",100,136,38,1.4,40,95,346
"2015-04-12",76,"良",53,102,25,0.8,25,58,231
"2015-04-13",54,"良",29,58,17,0.6,14,50,55
"2015-04-14",60,"良",43,70,20,0.6,16,71,48
"2015-04-15",82,"良",52,114,26,0.8,30,52,141
"2015-04-16",103,"轻度污染",58,157,21,0.8,27,57,212
"2015-04-17",110,"轻度污染",63,171,30,1,32,58,249
"2015-04-18",109,"轻度污染",74,168,32,1.2,38,50,291
"2015-04-19",76,"良",56,57,18,1,20,33,266
"2015-04-20",57,"良",40,63,17,0.6,20,66,131
"2015-04-21",83,"良",56,115,22,1,38,74,263
"2015-04-22",81,"良",56,112,20,0.9,40,76,235
"2015-04-23",76,"良",44,102,27,1,39,75,172
"2015-04-24",96,"良",59,143,25,1.2,42,75,270
"2015-04-25",114,"轻度污染",81,178,27,1.3,45,108,284
"2015-04-26",100,"良",70,150,27,1,45,95,244
"2015-04-27",81,"良",46,113,17,0.7,26,69,164
"2015-04-28",92,"良",69,118,20,0.8,23,66,257
"2015-04-29",57,"良",38,65,14,0.6,20,63,66
"2015-04-30",66,"良",40,82,14,0.9,26,78,84
"2015-05-01",83,"良",58,116,18,1,27,86,228
"2015-05-02",47,"优",29,47,8,0.7,18,70,61
"2015-05-03",71,"良",52,78,7,0.8,20,64,180
"2015-05-04",87,"良",64,108,9,1,25,50,282
"2015-05-05",79,"良",52,107,13,1.1,27,57,187
"2015-05-06",79,"良",58,91,8,0.9,32,45,180
"2015-05-07",87,"良",65,102,12,1,29,63,205
"2015-05-08",146,"轻度污染",112,153,11,1.3,42,44,361
"2015-05-09",122,"轻度污染",93,112,10,1.1,26,57,353
"2015-05-10",80,"良",59,83,14,0.9,24,69,248
"2015-05-11",57,"良",35,64,9,0.6,21,59,189
"2015-05-12",70,"良",28,89,9,0.4,21,58,193
"2015-05-13",75,"良",42,100,17,0.6,26,59,164
"2015-05-14",67,"良",43,85,12,0.7,26,50,150
"2015-05-15",51,"良",34,52,10,0.7,23,60,113
"2015-05-16",68,"良",42,85,11,0.8,25,71,160
"2015-05-17",75,"良",55,100,17,0.9,32,64,173
"2015-05-18",75,"良",55,77,10,0.8,31,52,186
"2015-05-19",91,"良",68,119,11,1.1,42,70,252
"2015-05-20",78,"良",52,107,12,0.9,35,77,237
"2015-05-21",61,"良",24,71,18,0.8,32,73,140
"2015-05-22",78,"良",46,106,24,0.9,33,100,196
"2015-05-23",80,"良",59,103,21,0.9,31,106,207
"2015-05-24",109,"轻度污染",83,147,23,1.1,42,119,266
"2015-05-25",96,"良",72,139,26,1,31,87,207
"2015-05-26",142,"轻度污染",109,166,24,1.3,31,88,314
"2015-05-27",152,"中度污染",117,145,20,1.6,48,52,323
"2015-05-28",156,"中度污染",119,120,15,1.5,33,71,343
"2015-05-29",86,"良",64,57,15,1.3,34,65,287
"2015-05-30",85,"良",63,90,14,1,27,96,291
"2015-05-31",102,"轻度污染",77,108,20,1.3,34,110,267
"2015-06-01",121,"轻度污染",92,134,19,1.4,38,105,287
"2015-06-02",67,"良",48,77,16,1.1,29,71,222
"2015-06-03",64,"良",46,65,16,0.8,30,77,241
"2015-06-04",42,"优",20,42,18,0.8,42,64,65
"2015-06-05",65,"良",33,79,12,0.8,36,87,156
"2015-06-06",79,"良",50,108,14,0.9,35,101,216
"2015-06-07",61,"良",35,72,14,0.9,32,71,179
"2015-06-08",71,"良",52,87,16,1.2,31,115,248
"2015-06-09",80,"良",59,82,21,1.3,39,95,221
"2015-06-10",52,"良",32,55,14,1,30,69,108
"2015-06-11",87,"良",38,124,12,0.7,27,86,280
"2015-06-12",68,"良",25,86,9,0.6,33,96,196
"2015-06-13",72,"良",40,94,11,0.7,35,98,225
"2015-06-14",78,"良",49,107,11,0.9,37,131,225
"2015-06-15",81,"良",60,100,9,1,34,91,230
"2015-06-16",65,"良",47,51,7,1.2,31,70,165
"2015-06-17",37,"优",14,19,6,1,22,73,42
"2015-06-18",63,"良",28,47,6,0.7,24,115,188
"2015-06-19",73,"良",54,84,11,1,35,128,228
"2015-06-20",88,"良",65,94,10,1,22,135,283
"2015-06-21",100,"良",75,77,6,1.1,23,132,301
"2015-06-22",73,"良",53,67,7,0.9,22,111,226
"2015-06-23",97,"良",72,96,9,1.2,24,101,294
"2015-06-24",111,"轻度污染",84,112,8,1.2,27,88,347
"2015-06-25",59,"良",42,58,5,0.7,22,50,235
"2015-06-26",37,"优",26,34,6,0.8,25,48,72
"2015-06-27",23,"优",11,16,6,0.8,24,45,7
"2015-06-28",25,"优",18,25,5,0.8,24,41,15
"2015-06-29",77,"良",56,86,8,1,26,78,289
"2015-06-30",51,"良",27,52,14,0.7,18,65,171
"2015-07-01",63,"良",42,62,17,0.8,28,115,215
"2015-07-02",76,"良",56,90,20,1.2,38,114,261
"2015-07-03",132,"轻度污染",101,137,20,1.4,37,130,348
"2015-07-04",89,"良",67,81,17,0.9,26,103,291
"2015-07-05",53,"良",38,55,18,0.7,24,101,142
"2015-07-06",42,"优",24,30,10,0.6,25,84,44
"2015-07-07",53,"良",37,54,6,0.7,21,85,110
"2015-07-08",82,"良",60,88,8,0.9,31,85,226
