"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,138,"轻度污染",102,225,83,4.1,38,51,50
2013-12-03,109,"轻度污染",82,159,65,3.5,37,32,32
2013-12-04,136,"轻度污染",104,185,82,4.3,54,16,44
2013-12-05,68,"良",45,86,48,2.6,32,22,17
2013-12-06,167,"中度污染",127,200,105,4.3,74,16,69
2013-12-07,177,"中度污染",134,207,108,4.6,92,15,46
2013-12-08,80,"良",53,111,44,1.9,33,33,15
2013-12-09,68,"良",45,87,68,2.2,48,32,20
2013-12-10,74,"良",37,99,52,2.1,36,39,18
2013-12-11,73,"良",46,97,85,2.2,51,30,32
2013-12-12,37,"优",21,37,47,1.8,31,41,3
2013-12-13,83,"良",61,113,86,2.9,62,27,29
2013-12-14,129,"轻度污染",98,174,113,3.9,71,17,56
2013-12-15,135,"轻度污染",103,191,112,4.1,71,20,65
2013-12-16,120,"轻度污染",91,165,112,3.5,67,21,68
2013-12-17,46,"优",23,46,46,1.9,34,38,34
2013-12-18,87,"良",65,124,104,3.6,64,30,61
2013-12-19,113,"轻度污染",85,159,98,3.9,70,19,53
2013-12-20,140,"轻度污染",107,183,112,5.2,77,18,61
2013-12-21,127,"轻度污染",96,177,154,8.9,84,16,68
2013-12-22,173,"中度污染",131,230,192,10.7,91,15,71
2013-12-23,166,"中度污染",126,225,179,10,91,14,55
2013-12-24,177,"中度污染",134,244,160,10.7,92,15,51
2013-12-25,127,"轻度污染",97,188,64,4.6,52,40,30
2013-12-26,48,"优",22,48,52,2.5,38,41,10
2013-12-27,71,"良",52,91,98,3.2,57,17,33
2013-12-28,59,"良",29,68,64,3,42,40,13
2013-12-29,96,"良",72,139,127,4.9,72,21,41
2013-12-30,156,"中度污染",80,261,103,4.5,65,30,94
2013-12-31,182,"中度污染",62,315,84,4.1,57,33,172
2014-01-01,113,"轻度污染",62,177,94,6.5,64,24,74
2014-01-02,122,"轻度污染",92,179,117,5,78,17,70
2014-01-03,101,"轻度污染",69,152,79,4.4,61,25,57
2014-01-04,116,"轻度污染",88,172,111,4.8,76,19,79
2014-01-05,79,"良",55,108,77,4.2,67,25,16
2014-01-06,96,"良",68,141,115,4.7,77,18,35
2014-01-07,52,"良",16,54,51,2.7,27,43,4
2014-01-08,57,"良",27,64,45,2.7,31,39,58
2014-01-09,67,"良",39,83,78,3.7,57,38,71
2014-01-10,103,"轻度污染",78,146,125,4.6,76,20,87
2014-01-11,109,"轻度污染",82,159,140,4.7,70,26,83
2014-01-12,62,"良",35,75,69,3.3,47,32,38
2014-01-13,84,"良",62,118,114,4.6,73,53,74
2014-01-14,74,"良",52,98,101,4.3,72,32,51
2014-01-15,96,"良",72,134,139,4.5,80,16,57
2014-01-16,99,"良",73,148,103,4.2,64,22,38
2014-01-17,70,"良",28,89,65,2.4,38,35,10
2014-01-18,80,"良",54,109,104,3.8,72,21,16
2014-01-19,126,"轻度污染",59,202,83,3.2,48,44,60
2014-01-20,44,"优",16,44,46,2.4,25,42,4
2014-01-21,55,"良",32,60,74,5.1,57,29,20
2014-01-22,90,"良",67,125,146,4.4,81,22,68
2014-01-23,126,"轻度污染",96,178,150,4.7,90,23,112
2014-01-24,72,"良",42,94,84,2.8,44,38,37
2014-01-25,38,"优",15,38,51,2.3,31,39,3
2014-01-26,76,"良",54,102,102,4.1,64,24,79
2014-01-27,86,"良",56,122,76,3.6,44,44,90
2014-01-28,62,"良",36,74,89,3.4,50,40,48
2014-01-29,95,"良",61,140,102,3.9,54,37,90
2014-01-30,82,"良",61,110,103,3.2,54,40,32
2014-01-31,302,"严重污染",252,317,198,7,96,25,151
2014-02-01,229,"重度污染",179,284,156,5.5,76,38,157
2014-02-02,94,"良",46,137,40,2.4,20,46,64
2014-02-03,27,"优",16,27,34,1.9,14,45,1
2014-02-04,42,"优",21,42,61,2.7,33,42,37
2014-02-05,62,"良",40,74,97,3.6,54,30,123
2014-02-06,93,"良",69,116,117,4.1,55,17,151
2014-02-07,22,"优",16,22,32,2,17,32,10
2014-02-08,22,"优",6,13,28,2,15,43,4
2014-02-09,24,"优",11,20,50,2.4,31,39,16
