"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,186,"中度污染",140,199,91,1.5,63,26,66
2013-12-03,172,"中度污染",130,186,90,1.6,64,20,66
2013-12-04,131,"轻度污染",100,154,72,1.9,66,21,41
2013-12-05,67,"良",48,85,48,0.9,44,34,15
2013-12-06,54,"良",33,58,62,0.8,41,33,4
2013-12-07,126,"轻度污染",96,139,76,1.2,53,21,21
2013-12-08,219,"重度污染",169,225,46,1.3,43,66,69
2013-12-09,77,"良",56,87,28,0.5,25,40,30
2013-12-10,61,"良",42,71,60,0.7,36,30,13
2013-12-11,45,"优",22,45,33,0.6,24,50,6
2013-12-12,46,"优",25,46,47,0.7,31,46,6
2013-12-13,33,"优",13,33,38,0.4,24,46,2
2013-12-14,50,"优",27,50,65,0.6,37,38,3
2013-12-15,52,"良",26,53,56,0.5,36,31,16
2013-12-16,59,"良",36,68,89,0.9,46,27,42
2013-12-17,136,"轻度污染",104,161,83,1.6,56,15,78
2013-12-18,58,"良",34,67,32,0.4,24,39,37
2013-12-19,59,"良",25,69,23,0.3,19,43,26
2013-12-20,54,"良",21,58,21,0.3,18,49,11
2013-12-21,49,"优",28,49,40,0.5,30,42,3
2013-12-22,60,"良",43,68,55,0.8,42,35,3
2013-12-23,122,"轻度污染",92,130,76,1.2,53,29,33
2013-12-24,114,"轻度污染",87,117,79,1.1,55,29,32
2013-12-25,126,"轻度污染",96,127,89,1.4,54,37,28
2013-12-26,75,"良",55,92,32,0.6,26,42,31
2013-12-27,50,"优",24,51,41,0.4,28,39,8
2013-12-28,54,"良",32,59,53,0.6,37,40,10
2013-12-29,60,"良",40,70,48,0.9,41,37,5
2013-12-30,88,"良",65,115,70,1.5,52,28,15
2013-12-31,89,"良",56,129,60,1.1,42,28,32
2014-01-01,88,"良",50,125,72,1.1,42,27,41
2014-01-02,72,"良",43,93,56,0.8,42,28,15
2014-01-03,82,"良",59,114,52,0.8,40,28,38
2014-01-04,56,"良",31,62,64,0.6,37,24,13
2014-01-05,100,"良",75,108,60,1.1,45,25,35
2014-01-06,141,"轻度污染",108,147,72,1.5,51,26,73
2014-01-07,170,"中度污染",129,174,63,1.2,48,20,135
2014-01-08,51,"良",19,52,33,0.4,21,46,34
2014-01-09,53,"良",28,56,74,0.7,36,42,22
2014-01-10,101,"轻度污染",76,115,84,1.3,55,28,85
2014-01-11,175,"中度污染",132,175,102,1.8,64,27,136
2014-01-12,85,"良",63,104,52,0.6,35,47,71
2014-01-13,60,"良",38,70,66,0.8,47,28,34
2014-01-14,93,"良",69,103,70,1.3,48,24,72
2014-01-15,214,"重度污染",164,202,102,1.9,63,27,129
2014-01-16,269,"重度污染",219,277,59,1.9,55,37,159
2014-01-17,180,"中度污染",136,177,81,1.8,57,29,98
2014-01-18,107,"轻度污染",81,111,63,1.6,48,53,53
2014-01-19,113,"轻度污染",85,117,58,1,44,39,49
2014-01-20,130,"轻度污染",99,138,45,1,37,55,96
2014-01-21,47,"优",29,47,31,0.5,22,55,15
2014-01-22,73,"良",53,75,111,0.9,49,31,25
2014-01-23,103,"轻度污染",77,109,47,0.9,46,46,70
2014-01-24,107,"轻度污染",80,112,50,0.9,46,40,79
2014-01-25,81,"良",60,102,39,0.7,28,53,56
2014-01-26,54,"良",21,58,64,0.6,31,47,24
2014-01-27,52,"良",32,55,52,0.7,34,45,26
2014-01-28,41,"优",18,41,37,0.4,24,51,9
2014-01-29,41,"优",22,41,35,0.5,29,54,5
2014-01-30,85,"良",63,95,65,0.8,31,51,36
2014-01-31,54,"良",32,58,29,0.3,19,54,2
2014-02-01,50,"优",29,50,44,0.6,26,54,15
2014-02-02,73,"良",54,83,51,0.9,28,46,38
2014-02-03,52,"良",19,53,35,0.3,17,53,34
2014-02-04,35,"优",17,35,48,0.4,21,61,12
2014-02-05,36,"优",21,36,44,0.4,22,65,30
2014-02-06,44,"优",31,44,51,0.7,28,59,82
2014-02-07,82,"良",60,87,64,0.8,38,31,119
2014-02-08,76,"良",56,88,54,0.8,29,58,110
2014-02-09,52,"良",25,55,30,0.3,16,64,88
2014-02-10,59,"良",32,67,56,0.6,26,58,114
2014-02-11,99,"良",74,101,89,1.2,42,58,124
2014-02-12,143,"轻度污染",109,139,93,1.4,49,57,145
2014-02-13,92,"良",69,100,84,1,44,50,95
2014-02-14,83,"良",61,87,92,0.9,45,71,51
2014-02-15,172,"中度污染",130,162,106,1,51,56,127
2014-02-16,196,"中度污染",147,183,89,1.2,52,58,156
2014-02-17,73,"良",54,92,54,0.8,34,58,99
2014-02-18,94,"良",71,111,85,1,47,54,153
2014-02-19,95,"良",71,101,69,1,40,52,109
2014-02-20,79,"良",58,84,61,0.9,38,53,68
2014-02-21,196,"中度污染",147,195,69,1.2,68,45,152
2014-02-22,172,"中度污染",131,168,55,1.2,58,50,137
2014-02-23,200,"中度污染",150,187,91,1.2,62,45,142
2014-02-24,154,"中度污染",118,142,50,1,55,59,113
2014-02-25,129,"轻度污染",98,124,31,1,45,51,92
