"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,310,"严重污染",260,420,201,3.5,139,13,105
2013-12-03,225,"重度污染",175,271,143,3.2,111,31,75
2013-12-04,275,"重度污染",225,360,197,3.9,128,12,87
2013-12-05,126,"轻度污染",96,183,101,2.3,70,26,55
2013-12-06,116,"轻度污染",88,159,114,1.6,70,16,37
2013-12-07,295,"重度污染",245,400,141,3.1,107,11,82
2013-12-08,248,"重度污染",198,329,89,4,87,9,81
2013-12-09,42,"优",24,42,40,1,35,39,6
2013-12-10,109,"轻度污染",79,167,96,2,58,36,51
2013-12-11,70,"良",39,91,78,1.4,51,36,29
2013-12-12,86,"良",47,121,68,1.4,45,48,30
2013-12-13,79,"良",50,108,92,1.6,55,33,28
2013-12-14,103,"轻度污染",78,152,113,2.2,68,39,38
2013-12-15,158,"中度污染",121,223,176,3.3,102,13,77
2013-12-16,206,"重度污染",156,274,178,4.4,122,10,95
2013-12-17,123,"轻度污染",93,131,123,3,57,8,77
2013-12-18,87,"良",65,100,113,2.7,53,29,62
2013-12-19,100,"良",75,124,120,2.4,62,27,47
2013-12-20,113,"轻度污染",85,138,133,2.6,68,32,50
2013-12-21,112,"轻度污染",84,140,138,2.2,72,25,46
2013-12-22,242,"重度污染",192,274,184,3.1,89,16,98
2013-12-23,314,"严重污染",264,406,260,5.4,126,12,94
2013-12-24,227,"重度污染",177,257,165,4.4,96,20,69
2013-12-25,371,"严重污染",321,462,213,4.2,110,16,96
2013-12-26,31,"优",16,31,47,1.1,33,45,2
2013-12-27,44,"优",26,44,67,1.3,50,34,5
2013-12-28,62,"良",42,73,75,1.4,54,42,14
2013-12-29,130,"轻度污染",99,175,147,2.7,69,27,76
2013-12-30,132,"轻度污染",100,200,146,3.1,79,31,72
2013-12-31,144,"轻度污染",89,238,115,2.5,71,37,131
2014-01-01,131,"轻度污染",91,212,123,2.3,75,28,95
2014-01-02,146,"轻度污染",112,224,133,3,96,10,91
2014-01-03,109,"轻度污染",83,148,108,2.3,71,25,65
2014-01-04,69,"良",50,73,120,1.4,65,22,23
2014-01-05,121,"轻度污染",92,143,109,2.6,67,31,54
2014-01-06,138,"轻度污染",106,142,86,2.2,69,19,70
2014-01-07,137,"轻度污染",105,147,105,2.2,67,24,113
2014-01-08,54,"良",34,59,59,1.2,44,45,44
2014-01-09,70,"良",47,91,80,1.4,57,36,82
2014-01-10,203,"重度污染",153,242,150,2.5,86,18,162
2014-01-11,357,"严重污染",307,431,146,4.3,111,13,179
2014-01-12,130,"轻度污染",99,151,78,1.9,62,48,120
2014-01-13,113,"轻度污染",85,137,133,2.3,75,21,115
2014-01-14,148,"轻度污染",114,191,136,3.2,84,14,121
2014-01-15,319,"严重污染",269,392,176,4.8,113,13,171
2014-01-16,283,"重度污染",233,302,107,3.8,85,8,165
2014-01-17,129,"轻度污染",98,127,113,2.3,64,16,57
2014-01-18,246,"重度污染",196,269,142,4.3,88,24,143
2014-01-19,247,"重度污染",197,267,163,3.6,93,14,138
2014-01-20,67,"良",18,84,43,1.2,28,52,24
2014-01-21,26,"优",18,24,55,1.4,35,34,1
2014-01-22,140,"轻度污染",107,185,151,2.4,80,24,156
2014-01-23,162,"中度污染",123,204,143,2.4,90,21,151
2014-01-24,245,"重度污染",195,300,176,4.7,114,8,169
2014-01-25,91,"良",68,106,101,1.8,61,38,65
2014-01-26,57,"良",35,65,71,1.5,56,39,28
2014-01-27,137,"轻度污染",105,178,100,2.3,73,25,139
2014-01-28,78,"良",50,106,70,1.6,49,49,85
2014-01-29,106,"轻度污染",80,145,120,1.8,60,28,103
2014-01-30,146,"轻度污染",112,186,89,2.4,48,54,85
2014-01-31,158,"中度污染",120,206,125,3.2,44,38,54
2014-02-01,73,"良",53,65,44,1.6,34,21,48
2014-02-02,95,"良",71,121,54,1.7,33,56,65
2014-02-03,54,"良",12,57,37,0.9,17,63,47
2014-02-04,45,"优",20,45,62,1.1,24,57,48
2014-02-05,54,"良",34,59,96,1.4,40,54,102
2014-02-06,58,"良",41,65,87,1.6,45,48,115
2014-02-07,68,"良",49,70,84,1.9,51,32,106
2014-02-08,89,"良",66,93,87,2.3,48,46,135
2014-02-09,31,"优",14,23,46,1.3,24,62,32
2014-02-10,52,"良",34,54,104,1.8,49,49,88
2014-02-11,84,"良",62,85,102,2,59,58,98
2014-02-12,192,"中度污染",144,196,159,3.5,85,27,171
2014-02-13,130,"轻度污染",99,129,83,2.1,57,69,135
2014-02-14,228,"重度污染",178,237,202,2.7,80,45,170
2014-02-15,246,"重度污染",196,249,115,2.5,72,52,167
2014-02-16,219,"重度污染",169,230,99,3.1,71,42,164
2014-02-17,62,"良",43,74,72,1.6,46,59,75
2014-02-18,60,"良",39,70,72,1.6,53,44,82
2014-02-19,78,"良",57,91,100,1.7,63,42,85
2014-02-20,116,"轻度污染",88,111,96,1.5,62,41,113
2014-02-21,236,"重度污染",186,276,200,3.3,118,14,174
2014-02-22,251,"重度污染",201,265,119,2.9,96,29,174
2014-02-23,191,"中度污染",144,170,67,1.9,66,19,135
2014-02-24,237,"重度污染",187,259,185,3,97,16,157
2014-02-25,289,"重度污染",239,329,213,4.1,126,20,169
2014-02-26,252,"重度污染",202,276,109,3,94,58,175
2014-02-27,54,"良",38,45,39,1.1,37,66,32
2014-02-28,58,"良",29,66,67,1,53,51,72
2014-03-01,87,"良",65,112,71,1.8,66,56,134
2014-03-02,208,"重度污染",158,236,119,3.1,107,29,175
2014-03-03,187,"中度污染",141,200,87,2.5,76,26,173
2014-03-04,125,"轻度污染",95,137,75,2.5,59,63,166
2014-03-05,79,"良",58,88,64,1.7,52,63,108
2014-03-06,57,"良",35,64,59,1.6,48,62,78
2014-03-07,84,"良",62,108,114,2,69,46,134
2014-03-08,193,"中度污染",145,209,118,2.7,87,41,176
2014-03-09,105,"轻度污染",79,119,81,2,54,64,129
2014-03-10,122,"轻度污染",93,152,112,2.5,83,46,125
2014-03-11,244,"重度污染",194,247,98,2.5,88,75,185
2014-03-12,77,"良",50,103,49,1.1,41,67,91
2014-03-13,86,"良",64,100,78,1.6,61,62,132
2014-03-14,83,"良",40,115,39,1,44,67,79
2014-03-15,173,"中度污染",131,235,101,2.3,90,52,187
2014-03-16,195,"中度污染",146,213,79,2.1,77,56,185
2014-03-17,169,"中度污染",129,268,73,2,67,52,157
2014-03-18,122,"轻度污染",66,194,52,1.4,57,66,93
2014-03-19,96,"良",72,108,48,1.4,72,52,103
2014-03-20,58,"良",37,66,27,1,45,69,38
2014-03-21,123,"轻度污染",93,136,59,1.9,74,74,182
2014-03-22,121,"轻度污染",92,182,46,1.4,60,73,165
2014-03-23,212,"重度污染",162,233,79,2.5,90,94,184
2014-03-24,184,"中度污染",139,174,65,1.6,70,105,179
2014-03-25,229,"重度污染",179,235,68,1.8,90,95,179
2014-03-26,252,"重度污染",202,253,59,2,82,106,178
2014-03-27,219,"重度污染",169,242,49,2.4,87,72,175
2014-03-28,235,"重度污染",185,272,53,3.2,107,32,185
2014-03-29,171,"中度污染",130,158,36,2.7,61,81,165
2014-03-30,149,"轻度污染",114,166,31,1.8,65,90,176
2014-03-31,192,"中度污染",144,223,48,1.7,76,97,187
2014-04-01,148,"轻度污染",114,147,39,1.3,58,117,182
2014-04-02,127,"轻度污染",97,168,35,1.1,54,86,173
2014-04-03,83,"良",33,117,13,0.7,31,78,115
2014-04-04,95,"良",47,140,32,0.9,41,82,131
2014-04-05,104,"轻度污染",33,159,16,0.8,35,80,148
2014-04-06,115,"轻度污染",68,180,40,1.1,45,95,173
2014-04-07,118,"轻度污染",90,166,41,1.3,49,99,170
2014-04-08,189,"中度污染",142,228,53,1.8,75,138,177
2014-04-09,168,"中度污染",127,218,33,1.6,42,124,178
2014-04-10,158,"中度污染",68,266,30,1.4,47,84,176
2014-04-11,96,"良",72,123,57,2.2,87,40,123
2014-04-12,114,"轻度污染",86,159,43,1.7,91,72,146
2014-04-13,199,"中度污染",149,195,44,1.7,72,120,176
2014-04-14,171,"中度污染",129,175,30,1.4,51,123,176
2014-04-15,102,"轻度污染",77,153,38,1.1,63,91,128
2014-04-16,115,"轻度污染",72,181,52,1.7,77,76,175
2014-04-17,145,"轻度污染",111,166,40,2.3,80,50,168
2014-04-18,118,"轻度污染",90,116,32,1.5,55,78,158
2014-04-19,82,"良",61,111,28,1.4,70,68,154
2014-04-20,104,"轻度污染",78,127,21,1.5,67,87,161
2014-04-21,152,"中度污染",116,177,30,1.4,57,99,176
2014-04-22,123,"轻度污染",93,140,37,1.5,45,113,160
2014-04-23,136,"轻度污染",104,150,28,1.1,32,107,172
2014-04-24,120,"轻度污染",91,131,45,1.2,48,147,166
2014-04-25,100,"良",75,141,46,1.2,56,138,145
2014-04-26,64,"良",43,78,11,1.3,32,92,93
2014-04-27,98,"良",73,114,31,2.3,50,76,156
2014-04-28,78,"良",55,105,25,1.3,55,96,114
2014-04-29,93,"良",69,132,36,1.3,60,136,115
2014-04-30,105,"轻度污染",76,137,36,1.2,53,165,115
2014-05-01,107,"轻度污染",80,159,45,1.3,41,168,90
2014-05-02,58,"良",29,65,5,0.7,21,106,24
2014-05-03,97,"良",40,143,21,1,36,98,140
2014-05-04,72,"良",29,94,4,0.7,20,76,103
2014-05-05,60,"良",32,69,19,1,40,86,71
2014-05-06,95,"良",71,140,51,1.4,58,94,126
2014-05-07,99,"良",74,114,22,1.6,43,108,121
2014-05-08,81,"良",60,88,26,1.5,52,104,68
2014-05-09,76,"良",52,101,31,1.4,49,106,91
2014-05-10,62,"良",39,74,19,1.1,44,99,98
2014-05-11,44,"优",29,21,8,1.1,26,88,41
