"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,77,"良",57,99,21,1.6,90,93,15
2013-12-03,149,"轻度污染",114,167,34,2.2,132,116,53
2013-12-04,134,"轻度污染",102,139,30,1.7,98,104,42
2013-12-05,141,"轻度污染",108,108,27,1.1,82,105,60
2013-12-06,114,"轻度污染",87,129,35,1.4,89,106,36
2013-12-07,132,"轻度污染",101,127,35,1.3,86,102,24
2013-12-08,139,"轻度污染",106,136,29,1.5,96,96,38
2013-12-09,173,"中度污染",131,157,40,1.6,77,107,79
2013-12-10,190,"中度污染",143,161,43,1.7,58,111,107
2013-12-11,151,"中度污染",116,135,39,1.4,53,84,99
2013-12-12,139,"轻度污染",106,127,32,1.3,65,56,72
2013-12-13,177,"中度污染",134,162,23,1.5,65,30,95
2013-12-14,101,"轻度污染",76,95,6,1.2,46,31,36
2013-12-15,62,"良",45,68,5,1.1,35,37,26
2013-12-16,21,"优",11,21,6,1.3,36,34,7
2013-12-17,23,"优",16,22,11,1.2,39,17,11
2013-12-18,28,"优",19,28,10,0.8,22,55,7
2013-12-19,46,"优",31,46,11,0.7,31,70,14
2013-12-20,63,"良",46,69,16,0.8,43,71,20
2013-12-21,103,"轻度污染",77,101,25,1,46,92,39
2013-12-22,102,"轻度污染",76,96,28,1,51,89,22
2013-12-23,102,"轻度污染",76,96,29,1.1,61,86,21
2013-12-24,96,"良",71,94,30,1.1,59,92,17
2013-12-25,115,"轻度污染",87,107,32,1.2,64,95,18
2013-12-26,101,"轻度污染",76,98,30,1,52,107,42
2013-12-27,163,"中度污染",124,149,53,1.4,42,107,102
2013-12-28,131,"轻度污染",100,133,32,1.2,53,85,79
2013-12-29,76,"良",56,85,22,1.1,57,83,19
2013-12-30,108,"轻度污染",82,115,33,1.5,89,76,39
2013-12-31,123,"轻度污染",94,123,37,1.5,84,91,87
2014-01-01,129,"轻度污染",98,129,29,1.9,99,81,93
2014-01-02,159,"中度污染",121,148,38,1.8,122,77,111
2014-01-03,180,"中度污染",136,172,31,1.9,110,93,115
2014-01-04,170,"中度污染",129,159,40,1.6,75,113,142
2014-01-05,149,"轻度污染",114,143,39,1.4,89,113,90
2014-01-06,207,"重度污染",157,190,42,1.7,109,117,133
2014-01-07,133,"轻度污染",101,123,29,1.4,92,54,109
2014-01-08,123,"轻度污染",93,118,16,1.9,69,25,149
2014-01-09,66,"良",48,65,12,1.5,41,63,65
2014-01-10,90,"良",67,87,17,1.4,55,49,66
2014-01-11,132,"轻度污染",100,130,24,1.6,80,69,115
2014-01-12,121,"轻度污染",92,123,17,1.8,63,46,111
2014-01-13,59,"良",37,68,10,1.2,31,46,33
