"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,265,"重度污染",215,311,39,1.9,118,46,95
2013-12-03,269,"重度污染",219,334,38,2.6,106,66,84
2013-12-04,285,"重度污染",235,343,51,2.5,97,40,89
2013-12-05,205,"重度污染",155,226,38,1.8,69,62,76
2013-12-06,216,"重度污染",166,266,44,2.4,88,66,87
2013-12-07,248,"重度污染",198,302,48,2,83,56,65
2013-12-08,209,"重度污染",159,237,43,1.6,65,39,64
2013-12-09,151,"中度污染",115,183,33,1.6,74,50,67
2013-12-10,105,"轻度污染",79,155,35,1.3,85,36,42
2013-12-11,134,"轻度污染",102,181,30,1.5,81,71,80
2013-12-12,126,"轻度污染",96,164,40,1.3,70,41,61
2013-12-13,166,"中度污染",126,210,34,1.5,75,78,87
2013-12-14,159,"中度污染",121,182,26,1.3,75,41,79
2013-12-15,72,"良",53,90,18,1,57,36,34
2013-12-16,114,"轻度污染",86,146,29,1.5,63,67,66
2013-12-17,160,"中度污染",122,193,46,1.8,86,50,80
2013-12-18,154,"中度污染",118,175,33,1.6,80,37,92
2013-12-19,142,"轻度污染",109,156,17,1.1,55,23,66
2013-12-20,138,"轻度污染",105,154,20,1,57,30,59
2013-12-21,112,"轻度污染",85,127,23,1,59,46,47
2013-12-22,137,"轻度污染",105,150,21,1.2,55,29,53
2013-12-23,163,"中度污染",124,186,31,1.4,65,44,52
2013-12-24,212,"重度污染",162,259,34,1.7,80,27,64
2013-12-25,226,"重度污染",176,248,38,1.6,72,20,58
2013-12-26,141,"轻度污染",108,166,28,1.4,62,54,63
2013-12-27,141,"轻度污染",108,181,27,1.5,70,47,88
2013-12-28,160,"中度污染",122,185,24,1.6,85,38,101
2013-12-29,187,"中度污染",141,213,29,1.5,77,44,111
2013-12-30,212,"重度污染",162,246,22,1.8,87,46,113
2013-12-31,253,"重度污染",203,313,21,2.2,81,35,186
2014-01-01,227,"重度污染",177,244,18,1.5,73,20,184
2014-01-02,229,"重度污染",179,270,28,1.8,76,31,170
2014-01-03,200,"中度污染",150,229,30,1.9,81,50,130
2014-01-04,192,"中度污染",144,234,32,2,99,54,156
2014-01-05,253,"重度污染",203,296,59,1.8,108,42,169
2014-01-06,205,"重度污染",155,226,40,1.5,77,36,130
2014-01-07,99,"良",74,98,19,1.1,64,44,80
2014-01-08,78,"良",58,98,20,0.9,59,55,100
2014-01-09,121,"轻度污染",92,154,26,1,59,55,151
2014-01-10,135,"轻度污染",103,135,31,1,51,39,127
2014-01-11,119,"轻度污染",90,127,25,1.2,61,40,98
2014-01-12,106,"轻度污染",80,130,26,1.1,64,59,100
2014-01-13,110,"轻度污染",83,132,24,1,70,66,111
