"日期","AQI","质量等级","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
"2015-04-01",81,"良",19,47,9,0.6,11,137,273
"2015-04-02",53,"良",19,48,9,0.6,10,104,122
"2015-04-03",55,"良",27,51,10,0.7,11,106,108
"2015-04-04",63,"良",13,29,10,0.7,11,115,153
"2015-04-05",67,"良",15,53,8,0.6,7,120,184
"2015-04-06",75,"良",16,33,14,0.8,13,130,277
"2015-04-07",83,"良",16,48,11,0.7,16,139,317
"2015-04-08",84,"良",21,57,12,0.7,14,141,296
"2015-04-09",84,"良",20,59,12,0.8,15,141,290
"2015-04-10",77,"良",22,48,10,0.6,17,132,222
"2015-04-11",73,"良",12,42,9,0.6,12,127,178
"2015-04-12",73,"良",15,39,10,0.6,11,128,215
"2015-04-13",67,"良",26,42,10,0.6,16,120,171
"2015-04-14",70,"良",16,28,10,0.5,14,124,108
"2015-04-15",76,"良",30,56,11,0.5,20,131,111
"2015-04-16",75,"良",17,43,10,0.3,14,130,80
"2015-04-17",96,"良",19,58,10,0.4,21,155,181
"2015-04-18",91,"良",21,89,9,0.4,16,149,224
"2015-04-19",92,"良",33,61,11,0.6,25,150,311
"2015-04-20",68,"良",34,68,13,0.6,33,121,221
"2015-04-21",72,"良",30,67,11,0.6,31,126,199
"2015-04-22",84,"良",24,61,11,0.4,19,141,255
"2015-04-23",80,"良",23,54,9,0.3,13,136,200
"2015-04-24",68,"良",30,44,9,0.6,19,122,113
"2015-04-25",73,"良",24,44,9,0.5,19,127,123
"2015-04-26",77,"良",20,36,8,0.6,19,132,122
"2015-04-27",83,"良",23,42,8,0.6,20,139,173
"2015-04-28",80,"良",24,55,12,0.5,14,136,199
"2015-04-29",71,"良",25,60,10,0.6,15,125,138
"2015-04-30",78,"良",21,36,9,0.6,16,134,155
"2015-05-01",81,"良",29,61,7,0.5,16,137,218
"2015-05-02",63,"良",17,51,7,0.4,10,116,178
"2015-05-03",77,"良",15,40,8,0.5,13,132,213
"2015-05-04",73,"良",16,39,9,0.5,13,127,216
"2015-05-05",79,"良",30,68,12,0.6,13,135,189
"2015-05-06",75,"良",39,100,11,0.6,23,124,161
"2015-05-07",63,"良",29,67,13,0.7,16,115,103
"2015-05-08",70,"良",32,89,14,0.6,18,117,203
"2015-05-09",78,"良",30,71,13,0.7,26,134,266
"2015-05-10",71,"良",30,92,14,0.7,28,112,207
"2015-05-11",62,"良",29,59,13,0.6,12,114,243
"2015-05-12",86,"良",17,34,13,0.7,17,143,315
"2015-05-13",83,"良",19,40,11,0.5,18,140,216
"2015-05-14",87,"良",18,38,12,0.5,19,144,247
"2015-05-15",78,"良",29,107,12,0.6,28,114,249
"2015-05-16",58,"良",15,43,12,0.5,13,109,109
"2015-05-17",102,"轻度污染",16,46,12,0.6,17,162,269
"2015-05-18",95,"良",18,41,13,0.7,16,154,268
"2015-05-19",83,"良",30,81,13,0.6,27,139,225
"2015-05-20",72,"良",26,75,14,0.5,17,126,200
"2015-05-21",74,"良",20,51,9,0.4,12,129,218
"2015-05-22",94,"良",18,49,8,0.4,11,153,266
"2015-05-23",101,"轻度污染",16,42,9,0.4,9,161,272
"2015-05-24",95,"良",22,52,8,0.4,11,154,224
"2015-05-25",101,"轻度污染",25,57,9,0.5,16,161,222
"2015-05-26",90,"良",26,47,10,0.5,18,148,207
"2015-05-27",80,"良",31,65,8,0.7,21,136,191
"2015-05-28",88,"良",24,49,7,0.6,14,145,247
"2015-05-29",82,"良",28,52,7,0.6,17,138,278
"2015-05-30",70,"良",39,81,7,0.7,21,124,219
"2015-05-31",70,"良",23,52,7,0.6,8,124,142
"2015-06-01",74,"良",24,65,7,0.6,8,129,165
"2015-06-02",103,"轻度污染",23,54,6,0.4,9,163,322
"2015-06-03",92,"良",30,53,7,0.4,13,150,337
"2015-06-04",77,"良",34,83,12,0.4,13,132,270
"2015-06-05",69,"良",22,47,10,0.4,12,123,185
"2015-06-06",73,"良",26,62,10,0.4,13,127,195
"2015-06-07",71,"良",22,58,10,0.4,10,125,224
"2015-06-08",83,"良",29,55,11,0.5,12,140,283
"2015-06-09",99,"良",15,29,9,0.5,15,159,281
"2015-06-10",108,"轻度污染",22,54,11,0.5,18,169,302
"2015-06-11",101,"轻度污染",20,57,10,0.5,16,161,324
"2015-06-12",58,"良",13,23,8,0.6,16,110,131
"2015-06-13",59,"良",14,32,9,0.6,14,111,164
"2015-06-14",72,"良",16,44,9,0.6,18,126,207
"2015-06-15",78,"良",19,43,8,0.5,17,134,223
"2015-06-16",67,"良",16,34,7,0.4,10,120,173
"2015-06-17",64,"良",19,45,9,0.4,16,117,187
"2015-06-18",63,"良",24,75,8,0.4,13,105,193
"2015-06-19",58,"良",18,35,8,0.5,15,109,143
"2015-06-20",69,"良",11,18,8,0.6,16,123,205
"2015-06-21",67,"良",14,25,9,0.7,14,120,151
"2015-06-22",53,"良",18,45,9,0.6,14,104,123
"2015-06-23",44,"优",18,44,8,0.6,15,71,92
"2015-06-24",37,"优",15,35,7,0.6,12,74,99
"2015-06-25",43,"优",16,37,8,0.6,14,86,132
"2015-06-26",52,"良",16,40,9,0.6,13,102,166
"2015-06-27",48,"优",17,39,7,0.5,12,96,161
"2015-06-28",42,"优",16,42,7,0.5,13,80,99
"2015-06-29",44,"优",15,39,7,0.4,12,88,96
"2015-06-30",51,"良",19,52,10,0.3,12,100,174
"2015-07-01",55,"良",25,60,8,0.4,13,90,179
"2015-07-02",51,"良",21,52,9,0.4,9,99,130
"2015-07-03",45,"优",17,43,10,0.4,12,89,105
"2015-07-04",114,"轻度污染",15,32,8,0.4,13,175,336
"2015-07-05",128,"轻度污染",17,42,8,0.4,14,191,351
"2015-07-06",114,"轻度污染",24,57,9,0.5,19,175,339
"2015-07-07",97,"良",19,53,8,0.4,13,156,291
"2015-07-08",51,"良",13,24,8,0.5,16,101,74
"2015-07-09",84,"良",20,46,10,0.6,24,141,248
"2015-07-10",57,"良",19,46,9,0.6,23,108,157
"2015-07-11",46,"优",16,41,9,0.5,19,92,103
"2015-07-12",53,"良",19,56,9,0.5,23,85,108
"2015-07-13",55,"良",23,59,9,0.6,25,99,69
"2015-07-14",58,"良",22,45,9,0.7,29,109,86
"2015-07-15",93,"良",32,68,8,0.6,26,151,270
"2015-07-16",97,"良",23,56,6,0.3,19,156,324
"2015-07-17",102,"轻度污染",24,57,7,0.4,19,162,326
"2015-07-18",89,"良",30,67,7,0.5,26,147,302
"2015-07-19",76,"良",21,57,7,0.4,19,131,245
"2015-07-20",76,"良",28,66,8,0.5,22,131,231
"2015-07-21",88,"良",32,67,10,0.6,29,145,296
"2015-07-22",95,"良",35,66,9,0.4,21,154,317
"2015-07-23",100,"良",31,57,9,0.4,22,160,338
"2015-07-24",106,"轻度污染",28,58,8,0.4,20,166,335
"2015-07-25",97,"良",24,52,9,0.5,20,156,297
"2015-07-26",75,"良",28,66,9,0.5,17,129,206
"2015-07-27",76,"良",35,88,9,0.5,18,131,235
"2015-07-28",78,"良",24,54,9,0.4,21,133,272
"2015-07-29",84,"良",24,59,9,0.4,20,140,278
"2015-07-30",70,"良",24,56,9,0.4,20,124,246
"2015-07-31",60,"良",17,48,9,0.4,15,112,211
"2015-08-01",37,"优",14,31,9,0.5,15,73,60
"2015-08-02",41,"优",15,31,9,0.7,18,82,66
"2015-08-03",56,"良",22,51,10,0.6,26,107,161
"2015-08-04",63,"良",26,65,11,0.6,26,115,191
"2015-08-05",59,"良",10,26,9,0.5,14,110,152
"2015-08-06",47,"优",12,25,8,0.6,19,94,79
"2015-08-07",49,"优",17,35,8,0.6,22,98,115
"2015-08-08",82,"良",29,71,9,0.6,33,138,298
"2015-08-09",85,"良",27,69,8,0.6,30,141,317
"2015-08-10",73,"良",34,96,9,0.6,30,124,304
"2015-08-11",70,"良",22,56,8,0.5,23,124,263
"2015-08-12",63,"良",22,53,8,0.5,19,115,185
"2015-08-13",50,"优",19,50,8,0.5,18,93,87
"2015-08-14",47,"优",15,33,7,0.5,21,93,95
"2015-08-15",44,"优",15,34,7,0.5,16,88,86
"2015-08-16",56,"良",16,30,7,0.6,16,107,146
"2015-08-17",49,"优",16,34,8,0.6,18,97,110
"2015-08-18",45,"优",16,30,7,0.6,19,89,83
"2015-08-19",55,"良",12,28,6,0.5,18,106,160
"2015-08-20",60,"良",16,38,8,0.5,18,112,205
"2015-08-21",66,"良",23,45,6,0.5,19,119,192
"2015-08-22",60,"良",14,30,6,0.4,20,111,133
"2015-08-23",50,"优",14,28,6,0.5,19,100,88
"2015-08-24",66,"良",20,41,7,0.4,19,119,190
"2015-08-25",56,"良",28,61,8,0.5,22,107,122
"2015-08-26",65,"良",41,79,8,0.5,24,105,156
"2015-08-27",59,"良",16,32,6,0.4,14,110,133
"2015-08-28",49,"优",16,38,8,0.6,17,97,93
"2015-08-29",68,"良",24,56,8,0.6,24,121,190
"2015-08-30",85,"良",17,44,8,0.4,17,142,259
"2015-08-31",58,"良",22,54,9,0.5,22,109,158
"2015-09-01",52,"良",20,54,9,0.5,16,98,131
"2015-09-02",60,"良",15,34,8,0.5,15,111,195
"2015-09-03",49,"优",14,38,10,0.4,12,98,127
"2015-09-04",46,"优",13,37,11,0.4,11,92,122
"2015-09-05",71,"良",14,32,9,0.6,19,125,303
"2015-09-06",50,"优",13,34,10,0.6,15,99,127
"2015-09-07",55,"良",16,34,10,0.6,18,106,136
"2015-09-08",62,"良",22,50,14,0.8,23,114,166
"2015-09-09",53,"良",25,56,12,0.7,24,101,125
"2015-09-10",54,"良",25,58,12,0.7,26,88,163
"2015-09-11",48,"优",16,48,12,0.7,13,90,123
"2015-09-12",46,"优",16,24,10,0.7,16,91,121
"2015-09-13",47,"优",17,38,10,0.7,19,94,67
"2015-09-14",59,"良",12,29,11,0.6,15,110,107
"2015-09-15",47,"优",16,45,11,0.8,19,93,58
"2015-09-16",58,"良",18,44,12,0.7,18,109,106
"2015-09-17",45,"优",14,42,11,0.6,16,90,45
"2015-09-18",45,"优",17,44,11,0.6,18,90,56
"2015-09-19",50,"优",20,41,12,0.6,19,99,98
"2015-09-20",50,"优",18,50,12,0.5,18,82,109
"2015-09-21",43,"优",16,43,15,0.6,15,72,74
"2015-09-22",46,"优",16,36,10,0.6,19,92,90
"2015-09-23",54,"良",24,58,12,0.8,25,67,166
"2015-09-24",51,"良",17,51,10,0.6,18,91,130
"2015-09-25",55,"良",22,60,11,0.7,22,76,179
"2015-09-26",51,"良",20,52,9,0.7,19,80,126
"2015-09-27",52,"良",18,54,9,0.7,18,81,110
"2015-09-28",55,"良",19,60,10,0.6,15,82,161
"2015-09-29",58,"良",21,65,10,0.6,23,97,191
"2015-09-30",64,"良",28,77,10,0.6,30,112,243
"2015-10-01",62,"良",27,73,9,0.6,30,110,201
"2015-10-02",67,"良",32,83,9,0.6,33,98,158
"2015-10-03",63,"良",28,76,10,0.6,28,99,161
"2015-10-04",53,"良",19,55,8,0.5,18,94,119
"2015-10-05",64,"良",25,66,8,0.5,23,116,172
"2015-10-06",63,"良",33,76,8,0.6,31,109,177
"2015-10-07",63,"良",32,76,8,0.6,30,104,208
"2015-10-08",66,"良",35,81,10,0.7,32,102,277
"2015-10-09",62,"良",26,74,9,0.5,22,102,218
"2015-10-10",48,"优",24,45,8,0.4,13,96,146
"2015-10-11",52,"良",21,54,8,0.4,15,95,141
"2015-10-12",66,"良",28,82,9,0.6,26,97,154
"2015-10-13",63,"良",31,75,9,0.5,27,103,105
"2015-10-14",59,"良",29,68,8,0.5,20,100,49
"2015-10-15",56,"良",25,62,9,0.5,18,96,39
"2015-10-16",53,"良",16,55,10,0.5,20,84,31
"2015-10-17",52,"良",26,53,9,0.6,19,92,39
"2015-10-18",56,"良",29,61,10,0.6,27,103,78
"2015-10-19",64,"良",31,78,12,0.6,30,102,89
"2015-10-20",77,"良",41,104,10,0.8,38,103,138
"2015-10-21",72,"良",42,94,11,0.7,33,113,147
"2015-10-22",58,"良",25,65,10,0.5,18,93,86
"2015-10-23",50,"优",20,50,8,0.5,16,94,31
"2015-10-24",60,"良",28,69,10,0.6,28,93,95
"2015-10-25",73,"良",39,96,10,0.7,33,100,217
"2015-10-26",78,"良",40,105,12,0.8,35,87,236
"2015-10-27",71,"良",40,92,12,0.8,31,88,257
"2015-10-28",75,"良",39,99,11,0.7,28,89,230
"2015-10-29",55,"良",20,56,10,0.6,19,106,153
"2015-10-30",55,"良",20,50,10,0.5,19,105,155
"2015-10-31",58,"良",27,66,11,0.6,26,88,193
"2015-11-01",64,"良",32,77,11,0.8,27,93,180
"2015-11-02",57,"良",26,64,11,0.7,30,98,101
"2015-11-03",68,"良",40,86,12,0.7,29,96,98
"2015-11-04",61,"良",35,72,11,0.7,27,93,81
"2015-11-05",68,"良",35,85,8,0.7,28,96,145
"2015-11-06",55,"良",20,59,8,0.6,16,99,191
"2015-11-07",48,"优",18,48,10,0.5,16,92,139
"2015-11-08",59,"良",30,68,12,1.2,26,88,156
"2015-11-09",75,"良",45,99,12,1.3,38,86,179
"2015-11-10",66,"良",36,82,12,0.9,31,78,154
"2015-11-11",61,"良",25,71,10,0.6,18,84,150
"2015-11-12",53,"良",21,56,9,0.6,20,90,116
"2015-11-13",70,"良",36,90,10,0.8,32,82,211
"2015-11-14",72,"良",42,94,13,0.9,35,94,193
"2015-11-15",67,"良",35,84,10,0.7,31,84,170
"2015-11-16",82,"良",41,113,10,0.7,29,95,259
"2015-11-17",65,"良",30,80,8,0.6,23,97,217
"2015-11-18",61,"良",31,72,8,0.6,24,85,245
"2015-11-19",59,"良",31,67,9,0.7,29,75,136
"2015-11-20",69,"良",37,88,10,0.8,34,72,199
"2015-11-21",78,"良",48,106,12,1,40,77,279
"2015-11-22",79,"良",55,108,12,1,40,79,320
"2015-11-23",82,"良",56,113,13,1.1,40,78,339
"2015-11-24",79,"良",52,108,11,1,41,85,340
"2015-11-25",71,"良",46,91,10,0.8,35,92,284
"2015-11-26",67,"良",35,83,9,0.7,34,78,244
"2015-11-27",70,"良",36,90,8,0.7,27,80,207
"2015-11-28",62,"良",33,74,8,0.7,24,79,90
"2015-11-29",66,"良",36,82,10,0.8,28,82,104
"2015-11-30",71,"良",44,92,10,0.9,32,83,138
"2015-12-01",60,"良",26,69,7,0.6,21,80,88
"2015-12-02",62,"良",32,74,8,0.7,25,77,140
"2015-12-03",60,"良",37,70,7,0.8,28,66,166
"2015-12-04",64,"良",46,67,8,0.9,30,83,190
"2015-12-05",57,"良",37,64,7,0.7,23,81,178
"2015-12-06",52,"良",30,54,7,0.6,23,93,121
"2015-12-07",59,"良",33,67,7,0.7,26,86,117
"2015-12-08",53,"良",25,56,8,0.5,22,88,77
"2015-12-09",64,"良",39,78,10,0.7,27,81,119
"2015-12-10",73,"良",46,96,12,0.8,32,84,145
"2015-12-11",85,"良",44,120,11,0.8,31,90,195
"2015-12-12",66,"良",28,82,9,0.6,20,95,140
"2015-12-13",59,"良",28,68,10,0.6,20,94,124
"2015-12-14",65,"良",35,79,10,0.8,28,94,159
"2015-12-15",53,"良",29,55,10,0.7,25,88,121
"2015-12-16",57,"良",31,64,10,0.7,26,82,187
"2015-12-17",66,"良",40,82,10,0.8,31,76,222
"2015-12-18",55,"良",20,60,6,0.3,8,98,79
"2015-12-19",50,"优",23,42,8,0.5,21,100,41
"2015-12-20",61,"良",30,72,8,0.6,21,76,60
"2015-12-21",121,"轻度污染",51,192,8,0.6,20,85,180
"2015-12-22",81,"良",50,112,9,0.9,32,73,98
"2015-12-23",134,"轻度污染",66,217,9,0.9,26,85,190
"2015-12-24",112,"轻度污染",52,173,8,0.6,18,92,231
"2015-12-25",70,"良",29,89,6,0.4,13,100,124
"2015-12-26",55,"良",33,60,9,0.7,25,94,83
"2015-12-27",108,"轻度污染",81,120,13,1.4,46,86,283
"2015-12-28",132,"轻度污染",100,140,14,1.7,51,70,281
"2015-12-29",69,"良",40,87,9,0.9,26,79,95
"2015-12-30",68,"良",41,86,9,0.8,29,85,96
"2015-12-31",66,"良",33,82,7,0.7,20,87,76
"2016-01-01",50,"优",19,36,7,0.4,18,99,25
"2016-01-02",51,"良",26,51,8,0.6,24,80,33
"2016-01-03",56,"良",31,62,8,0.7,24,84,40
"2016-01-04",50,"优",24,50,8,0.7,23,89,46
"2016-01-05",60,"良",42,70,9,0.9,32,82,137
"2016-01-06",72,"良",52,80,9,1,33,83,184
