"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,148,"轻度污染",113,194,67,1.5,107,55,57
2013-12-03,219,"重度污染",169,229,99,2,103,43,73
2013-12-04,330,"严重污染",280,340,109,2.6,126,46,103
2013-12-05,309,"严重污染",259,307,114,2.6,118,49,95
2013-12-06,287,"重度污染",237,292,97,2.6,121,68,96
2013-12-07,351,"严重污染",301,374,78,3.2,130,66,93
2013-12-08,304,"严重污染",254,300,78,2.6,106,58,98
2013-12-09,148,"轻度污染",113,149,75,1.6,59,51,66
2013-12-10,187,"中度污染",141,177,80,1.7,84,42,105
2013-12-11,147,"轻度污染",112,165,79,1.6,79,34,92
2013-12-12,202,"重度污染",152,234,98,2,99,27,111
2013-12-13,243,"重度污染",193,275,78,2.2,114,37,112
2013-12-14,221,"重度污染",171,233,86,1.9,116,31,91
2013-12-15,239,"重度污染",189,216,71,1.6,82,55,97
2013-12-16,229,"重度污染",179,168,51,1.5,66,52,98
2013-12-17,77,"良",56,46,38,1,44,36,58
2013-12-18,259,"重度污染",209,216,30,1.8,67,50,104
2013-12-19,301,"严重污染",251,289,97,2.6,99,27,104
2013-12-20,304,"严重污染",254,229,95,2.3,81,60,101
2013-12-21,260,"重度污染",210,175,77,1.8,71,52,99
2013-12-22,236,"重度污染",186,218,94,1.9,89,35,96
2013-12-23,240,"重度污染",190,235,96,2.3,104,28,80
2013-12-24,195,"中度污染",147,186,79,2,93,30,54
2013-12-25,245,"重度污染",195,230,77,2,109,33,66
2013-12-26,236,"重度污染",186,223,74,1.7,79,40,92
2013-12-27,93,"良",70,103,45,1,52,53,59
2013-12-28,144,"轻度污染",110,150,63,1.5,83,54,95
2013-12-29,180,"中度污染",136,177,69,1.7,91,45,107
2013-12-30,207,"重度污染",157,209,64,1.7,107,54,112
2013-12-31,213,"重度污染",163,210,62,1.7,100,66,183
2014-01-01,203,"重度污染",153,210,70,2,106,55,174
2014-01-02,231,"重度污染",181,254,89,2.4,112,26,172
2014-01-03,224,"重度污染",174,226,63,1.7,84,55,153
2014-01-04,147,"轻度污染",112,184,73,1.6,87,40,115
2014-01-05,195,"中度污染",147,213,89,2.2,91,53,132
2014-01-06,235,"重度污染",185,231,81,2.1,87,39,153
2014-01-07,318,"严重污染",268,140,29,2.3,64,22,182
2014-01-08,252,"重度污染",202,71,62,2.1,61,38,186
2014-01-09,258,"重度污染",208,169,78,2.5,76,36,187
2014-01-10,169,"中度污染",128,123,64,1.7,66,27,148
2014-01-11,120,"轻度污染",91,71,33,1.3,52,53,99
2014-01-12,218,"重度污染",168,191,69,1.7,72,41,176
2014-01-13,316,"严重污染",266,289,76,2.4,87,33,186
2014-01-14,277,"重度污染",227,262,70,2.5,84,47,180
2014-01-15,215,"重度污染",165,201,64,1.9,64,54,132
2014-01-16,159,"中度污染",122,160,82,1.8,91,40,104
2014-01-17,287,"重度污染",237,274,59,2,102,68,167
2014-01-18,284,"重度污染",234,270,97,2.3,94,55,165
2014-01-19,271,"重度污染",221,265,90,2.2,102,46,154
2014-01-20,198,"中度污染",148,205,58,1.6,84,68,156
2014-01-21,93,"良",67,135,72,1.4,70,29,95
2014-01-22,120,"轻度污染",91,129,68,1.4,67,65,131
2014-01-23,132,"轻度污染",100,141,75,1.5,73,70,124
2014-01-24,166,"中度污染",126,179,70,1.9,102,81,124
2014-01-25,298,"重度污染",248,279,107,2.5,97,66,185
2014-01-26,337,"严重污染",287,297,86,2.6,85,80,188
2014-01-27,264,"重度污染",214,214,56,2.2,75,60,172
2014-01-28,334,"严重污染",284,299,51,2.3,76,36,184
2014-01-29,336,"严重污染",286,38,30,2.1,47,49,185
2014-01-30,201,"重度污染",151,111,43,2.6,54,65,110
2014-01-31,227,"重度污染",177,205,56,2,53,71,102
2014-02-01,271,"重度污染",221,237,16,2.1,41,55,169
2014-02-02,279,"重度污染",229,253,36,2.6,60,43,172
2014-02-03,202,"重度污染",152,113,31,2.5,36,39,179
2014-02-04,57,"良",41,39,11,1.1,27,48,101
2014-02-05,45,"优",31,12,20,0.8,24,62,78
2014-02-06,44,"优",31,8,25,0.9,24,42,79
2014-02-07,110,"轻度污染",83,74,12,0.9,27,43,145
2014-02-09,144,"轻度污染",111,70,40,1.2,27,89,188
2014-02-10,106,"轻度污染",80,27,47,1,27,79,169
2014-02-11,113,"轻度污染",86,53,43,1.1,38,80,150
2014-02-12,99,"良",74,75,32,0.9,39,71,104
2014-02-13,135,"轻度污染",103,11,26,1,35,82,141
2014-02-14,120,"轻度污染",91,86,35,1.1,54,65,102
2014-02-15,129,"轻度污染",98,97,54,1.3,54,64,97
2014-02-16,137,"轻度污染",105,92,31,1.2,59,34,134
2014-02-17,125,"轻度污染",95,28,22,1.2,37,45,145
2014-02-18,37,"优",26,19,20,0.7,28,65,30
2014-02-19,72,"良",52,67,31,0.8,54,71,68
2014-02-20,115,"轻度污染",87,115,70,1.5,58,53,112
2014-02-21,109,"轻度污染",82,140,48,1.2,82,68,58
2014-02-22,113,"轻度污染",85,147,61,1.5,81,50,72
2014-02-23,211,"重度污染",161,192,45,1.6,77,35,151
2014-02-24,173,"中度污染",131,61,35,1.5,64,29,129
2014-02-25,103,"轻度污染",77,50,25,1.3,41,41,82
2014-02-26,102,"轻度污染",76,60,28,1.3,51,25,87
2014-02-27,103,"轻度污染",77,85,29,1.5,54,25,119
2014-02-28,48,"优",34,10,22,1.4,34,35,38
2014-03-01,79,"良",58,60,11,0.9,36,30,122
2014-03-02,143,"轻度污染",109,109,33,1.2,44,50,152
2014-03-03,137,"轻度污染",105,115,40,1.4,54,48,151
2014-03-04,135,"轻度污染",103,95,41,1.3,61,68,169
2014-03-05,108,"轻度污染",81,109,41,1.1,59,109,158
2014-03-06,115,"轻度污染",87,89,33,1.1,49,78,165
2014-03-07,64,"良",46,55,46,1,45,66,90
2014-03-08,97,"良",72,85,39,1.1,52,83,126
2014-03-09,131,"轻度污染",100,130,42,1.3,72,80,152
2014-03-10,102,"轻度污染",76,109,57,1.2,60,111,104
2014-03-11,101,"轻度污染",76,111,56,1.2,66,64,89
2014-03-12,126,"轻度污染",96,166,36,1.2,42,39,162
2014-03-13,79,"良",58,100,32,0.8,44,70,117
2014-03-14,106,"轻度污染",80,123,38,1,65,107,155
2014-03-15,95,"良",71,128,39,1.1,72,119,85
2014-03-16,118,"轻度污染",89,154,39,1.2,79,81,119
2014-03-17,121,"轻度污染",92,165,48,1.4,76,93,101
2014-03-18,141,"轻度污染",108,192,65,1.5,81,46,113
2014-03-19,140,"轻度污染",107,197,27,1.2,35,63,166
2014-03-20,97,"良",73,100,32,0.9,40,82,164
2014-03-21,99,"良",74,115,45,1.2,64,100,169
2014-03-22,115,"轻度污染",87,144,49,1.4,84,106,162
2014-03-23,151,"中度污染",116,183,46,1.5,97,45,165
2014-03-24,139,"轻度污染",106,123,37,1.3,67,30,159
2014-03-25,97,"良",73,79,27,1.6,58,56,84
2014-03-26,112,"轻度污染",85,117,49,1.9,71,81,103
2014-03-27,94,"良",70,122,57,1.4,65,123,69
2014-03-28,69,"良",50,84,41,1.1,57,103,66
2014-03-29,99,"良",71,147,30,1.1,51,149,116
2014-03-30,118,"轻度污染",89,171,43,1.2,58,139,141
2014-03-31,86,"良",64,100,29,1,48,96,105
2014-04-01,92,"良",69,124,38,1.3,78,105,113
