"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,152,"中度污染",116,170,174,2.6,87,21,59
2013-12-03,164,"中度污染",125,168,143,2,76,28,62
2013-12-04,116,"轻度污染",87,134,141,1.8,67,34,35
2013-12-05,64,"良",47,72,89,1,42,42,12
2013-12-06,109,"轻度污染",82,138,152,1.5,64,27,33
2013-12-07,147,"轻度污染",113,170,270,1.8,65,28,33
2013-12-08,154,"中度污染",118,152,175,1.7,53,14,44
2013-12-09,105,"轻度污染",79,97,97,1.1,39,31,49
2013-12-10,162,"中度污染",123,170,158,1.6,63,17,93
2013-12-11,60,"良",43,64,97,1,37,32,16
2013-12-12,72,"良",45,93,111,1.1,36,38,22
2013-12-13,57,"良",36,64,91,1,40,43,10
2013-12-14,68,"良",45,87,122,1.1,43,41,16
2013-12-15,80,"良",59,97,161,1.3,55,23,43
2013-12-16,159,"中度污染",121,177,291,1.8,67,18,84
2013-12-17,271,"重度污染",221,265,219,2,78,31,99
2013-12-18,217,"重度污染",167,213,175,1.5,68,27,99
2013-12-19,106,"轻度污染",79,124,128,1.1,45,33,50
2013-12-20,63,"良",45,65,135,0.9,42,35,19
2013-12-21,141,"轻度污染",108,141,208,1.5,66,26,74
2013-12-22,284,"重度污染",234,331,314,2.7,100,16,102
2013-12-23,339,"严重污染",289,373,366,2.7,92,23,97
2013-12-24,291,"重度污染",241,300,297,2.4,97,24,86
2013-12-25,280,"重度污染",230,301,279,3,94,7,76
2013-12-26,65,"良",47,72,101,0.8,35,39,19
2013-12-27,157,"中度污染",120,175,167,1.9,65,19,98
2013-12-28,240,"重度污染",190,252,228,2.4,79,17,113
2013-12-29,130,"轻度污染",99,146,195,2.1,70,28,74
2013-12-30,161,"中度污染",123,179,196,2.7,84,22,97
2013-12-31,108,"轻度污染",60,165,129,1.3,52,38,64
2014-01-01,65,"良",33,79,99,0.8,38,46,13
2014-01-02,79,"良",47,108,105,1.1,52,38,23
2014-01-03,60,"良",41,70,97,0.6,43,44,15
2014-01-04,139,"轻度污染",106,154,206,1.4,72,29,109
2014-01-05,121,"轻度污染",92,134,199,1.2,62,30,55
2014-01-06,160,"中度污染",122,164,207,1.6,63,31,86
2014-01-07,86,"良",64,98,104,0.9,43,42,58
2014-01-08,51,"良",23,53,76,0.4,31,55,33
2014-01-09,103,"轻度污染",77,126,127,1.3,60,37,138
2014-01-10,113,"轻度污染",86,142,172,1.7,73,30,107
2014-01-11,142,"轻度污染",109,171,192,1.9,73,27,122
2014-01-12,60,"良",37,71,85,0.5,34,48,32
2014-01-13,133,"轻度污染",101,156,202,1.4,68,31,142
2014-01-14,178,"中度污染",135,206,270,2,80,24,137
2014-01-15,140,"轻度污染",107,163,194,2,74,30,97
2014-01-16,227,"重度污染",177,249,194,2.3,77,19,141
2014-01-17,180,"中度污染",136,198,298,1.4,80,19,99
2014-01-18,115,"轻度污染",87,118,132,1,53,41,61
2014-01-19,133,"轻度污染",101,140,163,1.3,63,21,70
2014-01-20,126,"轻度污染",95,117,111,1.1,52,36,88
2014-01-21,165,"中度污染",126,176,190,1.4,68,24,179
2014-01-22,146,"轻度污染",112,163,256,2.1,81,25,162
2014-01-23,102,"轻度污染",77,105,116,1,48,55,64
2014-01-24,153,"中度污染",117,139,119,1.3,56,59,112
2014-01-25,119,"轻度污染",91,141,131,1.1,47,57,91
2014-01-26,82,"良",56,113,128,1.3,54,37,93
2014-01-27,78,"良",40,106,86,0.8,34,42,78
2014-01-28,50,"优",25,51,98,0.7,33,55,19
2014-01-29,75,"良",43,100,101,0.9,35,55,54
2014-01-30,62,"良",40,73,101,0.7,28,62,15
2014-01-31,205,"重度污染",155,204,206,1.3,47,45,83
2014-02-01,148,"轻度污染",113,160,214,1.8,61,34,116
2014-02-02,121,"轻度污染",50,192,88,1.1,27,59,87
2014-02-03,51,"良",19,51,73,0.6,17,64,31
2014-02-04,62,"良",39,74,108,1,31,60,116
2014-02-05,103,"轻度污染",78,119,276,1.3,56,38,175
2014-02-06,88,"良",65,97,206,1.3,46,52,143
2014-02-07,93,"良",69,90,122,1.1,43,34,127
2014-02-08,82,"良",61,93,122,1,39,57,122
2014-02-09,66,"良",47,69,111,0.9,33,61,114
2014-02-10,82,"良",61,95,165,1.2,53,53,148
2014-02-11,120,"轻度污染",91,136,265,1.3,69,39,160
2014-02-12,127,"轻度污染",97,134,185,1.2,55,66,131
2014-02-13,158,"中度污染",120,164,243,1.4,69,48,154
2014-02-14,137,"轻度污染",105,195,178,1.7,67,72,125
2014-02-15,232,"重度污染",182,214,184,1.8,73,45,162
2014-02-16,115,"轻度污染",87,112,132,1,49,75,125
2014-02-17,105,"轻度污染",79,104,143,1,54,73,132
2014-02-18,80,"良",59,83,121,0.9,49,66,123
2014-02-19,63,"良",46,69,139,0.8,48,64,56
2014-02-20,98,"良",73,110,177,1.2,62,57,94
2014-02-21,223,"重度污染",173,228,212,2.5,96,59,171
2014-02-22,145,"轻度污染",111,158,197,1.5,75,67,105
2014-02-23,201,"重度污染",151,203,233,1.9,95,48,143
2014-02-24,301,"严重污染",251,318,179,2.6,91,51,175
2014-02-25,287,"重度污染",237,299,143,2.3,79,75,167
2014-02-26,176,"中度污染",133,208,104,1.4,50,98,143
2014-02-27,71,"良",41,92,64,0.6,32,68,70
2014-02-28,89,"良",56,128,139,0.9,56,53,145
2014-03-01,56,"良",38,62,84,0.7,38,64,69
2014-03-02,80,"良",59,90,112,0.8,47,67,83
2014-03-03,126,"轻度污染",96,139,153,1.4,67,62,145
2014-03-04,68,"良",50,65,70,0.6,34,69,81
2014-03-05,57,"良",32,64,71,0.6,38,67,51
2014-03-06,49,"优",26,49,62,0.6,29,66,40
2014-03-07,71,"良",51,92,121,1,51,66,111
2014-03-08,81,"良",60,107,117,1.1,54,65,104
2014-03-09,59,"良",40,68,81,0.7,41,65,49
2014-03-10,105,"轻度污染",79,142,141,1.5,64,56,109
2014-03-11,121,"轻度污染",92,147,86,1,49,51,121
2014-03-12,61,"良",28,72,73,0.5,31,69,47
2014-03-13,134,"轻度污染",102,145,97,1.1,62,89,184
2014-03-14,188,"中度污染",141,191,141,1.5,73,88,188
2014-03-15,85,"良",52,119,78,1,43,75,43
2014-03-16,90,"良",63,131,114,1.1,62,85,62
2014-03-17,142,"轻度污染",95,233,85,1.2,51,61,132
2014-03-18,66,"良",47,82,64,0.7,38,83,27
2014-03-19,75,"良",52,100,84,0.9,53,79,44
2014-03-20,63,"良",29,76,59,0.5,34,64,55
2014-03-21,108,"轻度污染",81,147,115,1.4,71,67,174
2014-03-22,98,"良",73,120,101,1.1,63,87,132
2014-03-23,164,"中度污染",125,178,129,1.3,83,95,173
2014-03-24,161,"中度污染",123,233,94,1.3,54,107,175
2014-03-25,186,"中度污染",140,179,92,1.4,58,126,157
2014-03-26,226,"重度污染",176,238,101,1.9,73,126,171
2014-03-27,230,"重度污染",180,253,81,1.6,69,106,179
