"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,199,"中度污染",150,257,114,1.9,86,53,74
2013-12-03,256,"重度污染",206,346,153,2.9,103,28,81
2013-12-04,140,"轻度污染",107,187,106,1.6,72,45,47
2013-12-05,221,"重度污染",171,254,114,1.5,71,50,81
2013-12-06,133,"轻度污染",101,177,96,1.4,69,40,52
2013-12-07,255,"重度污染",205,312,106,1.9,84,50,68
2013-12-08,329,"严重污染",279,388,71,2.2,84,28,103
2013-12-09,128,"轻度污染",98,162,63,1.1,45,52,58
2013-12-10,120,"轻度污染",91,168,92,1.1,61,37,67
2013-12-11,79,"良",47,108,79,0.7,45,42,39
2013-12-12,109,"轻度污染",69,169,103,1,57,39,48
2013-12-13,116,"轻度污染",72,182,151,1.2,82,27,51
2013-12-14,252,"重度污染",202,376,213,2.6,116,17,103
2013-12-15,395,"严重污染",277,496,208,3.4,131,15,109
2013-12-16,359,"严重污染",275,467,203,3.2,135,16,109
2013-12-17,253,"重度污染",203,352,166,2.2,101,15,95
2013-12-18,94,"良",70,120,82,0.8,48,37,67
2013-12-19,193,"中度污染",145,231,134,1.4,76,19,84
2013-12-20,198,"中度污染",148,237,114,1.6,87,30,73
2013-12-21,111,"轻度污染",84,161,123,1.4,81,34,45
2013-12-22,156,"中度污染",119,201,132,1.6,84,20,63
2013-12-23,246,"重度污染",196,325,140,1.7,99,22,83
2013-12-24,354,"严重污染",304,463,197,2.7,129,18,93
2013-12-25,384,"严重污染",323,487,177,2.2,120,28,99
2013-12-26,173,"中度污染",131,240,57,0.9,52,49,74
2013-12-27,94,"良",70,136,107,1,64,31,61
2013-12-28,131,"轻度污染",100,188,127,1.3,74,30,81
2013-12-29,102,"轻度污染",73,153,106,0.9,61,41,48
2013-12-30,120,"轻度污染",83,191,137,1.2,77,31,53
2013-12-31,144,"轻度污染",74,237,128,1,69,41,129
2014-01-01,129,"轻度污染",71,208,138,1.3,73,31,92
2014-01-02,144,"轻度污染",99,238,148,2.1,83,28,88
2014-01-03,209,"重度污染",159,312,174,2.3,93,17,140
2014-01-04,114,"轻度污染",86,171,108,1.4,63,34,78
2014-01-05,242,"重度污染",192,315,127,1.8,79,24,160
2014-01-06,489,"严重污染",361,589,161,4.1,116,13,188
2014-01-08,124,"轻度污染",94,156,120,1.6,55,31,151
2014-01-09,118,"轻度污染",90,163,148,1.5,59,33,150
2014-01-10,199,"中度污染",149,242,110,1.9,62,38,160
2014-01-11,206,"重度污染",156,241,113,2,68,40,146
2014-01-12,227,"重度污染",177,279,173,2.4,82,34,177
2014-01-13,134,"轻度污染",102,179,126,1.7,64,41,144
2014-01-14,226,"重度污染",176,287,130,2,72,35,166
2014-01-15,249,"重度污染",199,307,114,1.9,66,54,144
2014-01-16,209,"重度污染",159,263,106,1.5,61,63,132
2014-01-17,330,"严重污染",280,423,130,3,78,16,175
2014-01-18,191,"中度污染",144,225,105,2,74,42,104
2014-01-19,253,"重度污染",203,341,143,2.3,88,53,140
2014-01-20,168,"中度污染",95,287,68,1.3,54,62,134
2014-01-21,61,"良",31,73,57,1,47,38,29
2014-01-22,102,"轻度污染",61,155,72,1,49,62,100
2014-01-23,110,"轻度污染",73,170,67,1.1,51,85,78
2014-01-24,222,"重度污染",172,305,176,3.4,107,50,156
2014-01-25,153,"中度污染",117,208,121,2.5,66,50,120
