"日期","AQI","质量等级","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
"2015-04-01",35,"优",19,35,8,0.7,30,35,21
"2015-04-02",33,"优",16,33,7,0.7,25,37,21
"2015-04-03",33,"优",16,33,6,0.6,26,34,15
"2015-04-04",31,"优",17,31,6,0.6,22,47,8
"2015-04-05",38,"优",23,38,7,0.7,23,65,29
"2015-04-06",45,"优",18,45,9,0.7,31,51,94
"2015-04-07",47,"优",26,47,8,0.8,29,66,145
"2015-04-08",26,"优",17,25,5,1,24,52,8
"2015-04-09",48,"优",30,48,5,1,36,29,69
"2015-04-10",25,"优",13,25,4,1,32,22,17
"2015-04-11",25,"优",16,25,4,1,34,28,11
"2015-04-12",51,"良",32,53,6,1,33,98,43
"2015-04-13",87,"良",56,111,10,1.1,50,144,308
"2015-04-14",81,"良",27,75,10,0.7,31,137,188
"2015-04-15",82,"良",34,78,11,0.8,63,138,136
"2015-04-16",74,"良",35,75,11,0.8,59,129,78
"2015-04-17",54,"良",32,57,10,0.8,45,91,27
"2015-04-18",48,"优",20,48,6,0.7,23,68,34
"2015-04-19",43,"优",22,43,8,0.7,28,41,53
"2015-04-20",45,"优",25,45,9,0.8,33,40,60
"2015-04-21",53,"良",21,38,7,1.3,29,103,77
"2015-04-22",62,"良",31,52,8,1.1,27,114,111
"2015-04-23",65,"良",36,72,9,1,40,118,105
"2015-04-24",95,"良",53,91,12,1,45,154,264
"2015-04-25",58,"良",41,67,9,0.9,34,110,47
"2015-04-26",58,"良",29,55,7,0.8,21,110,36
"2015-04-27",55,"良",30,60,10,0.8,36,91,45
"2015-04-28",51,"良",29,52,10,0.8,42,59,40
"2015-04-29",51,"良",25,53,10,0.9,42,76,44
"2015-04-30",52,"良",25,53,10,0.8,39,80,36
"2015-05-01",38,"优",20,38,6,0.8,21,45,22
"2015-05-02",29,"优",11,29,6,0.7,21,37,10
"2015-05-03",30,"优",13,30,8,0.8,24,52,4
"2015-05-04",31,"优",15,31,9,0.8,27,49,10
"2015-05-05",43,"优",22,43,7,0.8,24,70,34
"2015-05-06",42,"优",21,42,6,0.8,23,78,33
"2015-05-07",28,"优",14,28,7,0.8,25,36,6
"2015-05-08",25,"优",11,25,6,0.7,22,30,6
"2015-05-09",24,"优",12,23,6,0.8,29,48,1
"2015-05-10",33,"优",17,33,6,1,28,50,7
"2015-05-11",33,"优",17,33,6,0.8,26,51,22
