"日期","AQI","质量等级","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
"2015-04-01",80,"良",33,84,8,0.7,34,136,267
"2015-04-02",68,"良",30,86,8,0.7,31,111,245
"2015-04-03",61,"良",29,72,7,0.6,27,108,156
"2015-04-04",73,"良",43,87,9,0.7,31,128,205
"2015-04-05",105,"轻度污染",59,121,9,0.8,33,165,290
"2015-04-06",93,"良",70,116,8,0.9,36,103,302
"2015-04-07",44,"优",10,15,3,0.6,16,88,113
"2015-04-08",44,"优",15,22,3,0.6,17,88,76
"2015-04-09",42,"优",28,38,3,0.8,32,84,42
"2015-04-10",30,"优",16,25,3,0.8,35,60,29
"2015-04-11",50,"优",35,48,4,0.7,38,69,59
"2015-04-12",62,"良",35,74,10,0.8,43,114,109
"2015-04-13",73,"良",33,96,7,0.6,39,108,229
"2015-04-14",72,"良",23,72,9,0.4,28,126,120
"2015-04-15",104,"轻度污染",39,91,12,0.6,51,164,251
"2015-04-16",122,"轻度污染",45,108,11,0.7,55,184,285
"2015-04-17",85,"良",63,118,9,0.7,57,121,132
"2015-04-18",87,"良",64,123,10,0.8,53,77,207
"2015-04-19",80,"良",41,111,6,0.7,40,57,277
"2015-04-20",52,"良",32,55,4,0.8,37,55,100
"2015-04-21",49,"优",18,34,3,0.6,21,97,55
"2015-04-22",98,"良",31,67,7,0.8,35,157,312
"2015-04-23",76,"良",29,69,9,0.7,48,131,171
"2015-04-24",68,"良",24,56,8,0.6,35,121,117
"2015-04-25",63,"良",22,48,8,0.7,26,115,71
"2015-04-26",83,"良",25,69,8,0.6,29,140,159
"2015-04-27",87,"良",47,105,12,0.7,40,144,191
"2015-04-28",57,"良",36,54,4,0.8,39,108,64
"2015-04-29",80,"良",26,64,6,0.8,31,136,189
"2015-04-30",108,"轻度污染",63,89,7,0.7,23,169,266
"2015-05-01",89,"良",51,81,5,0.7,31,147,249
"2015-05-02",66,"良",37,82,6,0.7,31,81,205
"2015-05-03",71,"良",31,61,4,0.6,23,125,183
"2015-05-04",78,"良",34,49,3,0.6,21,134,238
"2015-05-05",78,"良",27,49,4,0.7,27,134,186
"2015-05-06",69,"良",48,87,6,1,52,78,134
"2015-05-07",77,"良",46,98,8,1.1,49,132,161
"2015-05-08",73,"良",53,92,7,0.8,41,110,226
"2015-05-09",73,"良",51,96,5,0.9,44,124,239
"2015-05-10",79,"良",17,38,4,0.5,22,135,244
"2015-05-11",73,"良",29,66,6,0.6,34,128,304
"2015-05-12",76,"良",9,31,5,0.5,19,131,254
"2015-05-13",133,"轻度污染",31,82,10,0.6,38,196,353
"2015-05-14",103,"轻度污染",47,112,9,0.8,46,163,296
"2015-05-15",83,"良",32,86,8,0.7,35,140,273
"2015-05-16",68,"良",25,58,6,0.6,31,121,157
"2015-05-17",44,"优",24,41,4,0.7,26,88,51
"2015-05-18",58,"良",30,66,5,0.7,31,58,111
"2015-05-19",42,"优",23,42,5,0.7,37,25,58
"2015-05-20",44,"优",27,44,4,0.8,35,82,55
"2015-05-21",64,"良",13,27,3,0.6,21,117,155
"2015-05-22",42,"优",17,33,3,0.7,37,84,46
"2015-05-23",44,"优",23,44,4,0.9,52,37,56
"2015-05-24",39,"优",14,26,3,0.9,30,78,21
"2015-05-25",54,"良",31,58,4,0.9,41,76,76
"2015-05-26",51,"良",27,52,4,0.8,48,44,66
"2015-05-27",57,"良",35,65,4,0.9,48,63,95
"2015-05-28",59,"良",32,69,4,1,35,90,131
"2015-05-29",73,"良",28,63,3,0.8,26,128,249
"2015-05-30",55,"良",26,60,3,0.8,34,60,136
"2015-05-31",35,"优",20,35,4,0.7,27,50,16
"2015-06-01",49,"优",19,42,5,0.6,26,98,71
"2015-06-02",52,"良",20,53,5,0.6,23,60,134
"2015-06-03",55,"良",23,59,5,0.6,24,91,181
"2015-06-04",36,"优",14,21,4,0.6,32,71,30
"2015-06-05",51,"良",25,51,5,0.9,54,39,96
"2015-06-06",36,"优",20,32,4,0.7,32,72,24
"2015-06-07",65,"良",34,66,5,0.8,29,118,195
"2015-06-08",56,"良",28,63,5,0.7,28,81,178
"2015-06-09",72,"良",27,61,6,0.6,27,126,196
"2015-06-10",56,"良",24,47,5,0.6,25,107,135
"2015-06-11",46,"优",16,37,3,0.6,24,91,93
"2015-06-12",68,"良",14,36,5,0.7,25,121,201
"2015-06-13",58,"良",21,48,4,0.6,21,110,157
"2015-06-14",45,"优",17,45,5,0.6,26,86,102
"2015-06-15",52,"良",20,53,6,0.6,22,94,122
"2015-06-16",66,"良",23,61,7,0.6,23,119,167
"2015-06-17",73,"良",25,68,8,0.6,26,127,222
"2015-06-18",80,"良",30,69,6,0.7,32,136,259
"2015-06-19",31,"优",11,26,4,0.6,25,61,24
"2015-06-20",39,"优",19,39,5,0.7,28,75,40
"2015-06-21",34,"优",13,34,3,0.6,22,63,35
"2015-06-22",53,"良",22,56,5,0.7,32,65,118
"2015-06-23",46,"优",17,46,4,0.7,28,48,101
"2015-06-24",36,"优",14,36,5,0.7,26,43,94
"2015-06-25",42,"优",13,42,4,0.6,17,45,124
"2015-06-26",52,"良",19,54,5,0.6,16,66,163
