"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,97,"良",70,144,57,2.6,70,22,28
2013-12-03,99,"良",74,132,63,3,64,24,25
2013-12-04,101,"轻度污染",76,139,95,2.5,57,24,25
2013-12-05,112,"轻度污染",85,162,73,2.5,55,22,49
2013-12-06,108,"轻度污染",82,147,80,2.3,53,25,32
2013-12-07,87,"良",61,124,79,2.5,50,23,11
2013-12-08,71,"良",52,93,31,1.4,46,22,11
2013-12-09,120,"轻度污染",91,133,76,2.4,52,26,52
2013-12-10,125,"轻度污染",95,148,56,2.5,55,25,70
2013-12-11,129,"轻度污染",98,164,94,2.8,63,19,77
2013-12-12,171,"中度污染",130,198,94,3.3,70,18,100
2013-12-13,128,"轻度污染",98,159,104,2.7,57,26,63
2013-12-14,49,"优",28,49,29,1.2,38,32,2
2013-12-15,85,"良",63,90,108,2.4,52,23,44
2013-12-16,85,"良",63,105,105,2.7,58,19,55
2013-12-17,76,"良",56,97,115,2.7,55,20,56
2013-12-18,91,"良",68,120,120,3,64,20,64
2013-12-19,96,"良",72,119,95,2.6,56,27,45
2013-12-20,74,"良",54,80,39,1.8,47,33,30
2013-12-21,114,"轻度污染",86,119,107,2.7,57,26,52
2013-12-22,118,"轻度污染",90,138,117,3.3,59,23,34
2013-12-23,97,"良",73,118,88,2.9,55,22,18
2013-12-24,133,"轻度污染",101,144,89,2.9,63,22,38
2013-12-25,150,"轻度污染",115,164,82,3.3,63,20,40
2013-12-26,101,"轻度污染",76,120,78,2.8,58,20,43
2013-12-27,102,"轻度污染",76,121,79,2.8,54,25,64
2013-12-28,90,"良",67,113,92,3.2,55,27,39
2013-12-29,122,"轻度污染",93,145,111,3.5,62,24,67
2013-12-30,97,"良",73,125,87,3.4,62,21,27
2013-12-31,96,"良",72,131,108,3.6,63,20,48
2014-01-01,84,"良",62,115,116,3.5,58,20,32
2014-01-02,64,"良",42,79,49,2.2,52,30,10
2014-01-03,85,"良",63,120,96,2.7,50,29,45
2014-01-04,72,"良",45,94,79,2,48,31,26
2014-01-05,82,"良",60,111,101,2.7,53,27,18
2014-01-06,90,"良",67,130,60,2.2,48,36,30
2014-01-07,92,"良",44,133,35,1.2,35,34,66
2014-01-08,78,"良",50,106,50,1.4,34,34,103
2014-01-09,123,"轻度污染",93,146,119,2.4,46,28,153
2014-01-10,110,"轻度污染",83,131,46,1.9,48,35,100
2014-01-11,121,"轻度污染",91,141,63,2.2,45,36,100
2014-01-12,112,"轻度污染",85,137,86,2.4,51,29,102
2014-01-13,133,"轻度污染",101,167,105,3,55,30,143
2014-01-14,123,"轻度污染",94,154,90,2.8,47,29,102
2014-01-15,158,"中度污染",120,192,104,3.2,52,26,111
2014-01-16,126,"轻度污染",96,158,79,2.2,51,26,73
2014-01-17,142,"轻度污染",109,168,99,2.8,53,23,70
2014-01-18,157,"中度污染",120,225,101,2.5,47,31,84
2014-01-19,137,"轻度污染",73,224,47,1.3,40,32,74
2014-01-20,134,"轻度污染",102,203,76,2.1,45,29,104
2014-01-21,96,"良",72,129,92,2.3,39,23,104
2014-01-22,133,"轻度污染",102,167,123,2.8,51,24,144
2014-01-23,146,"轻度污染",112,202,130,3.2,54,22,139
2014-01-24,120,"轻度污染",64,189,42,1.3,34,37,89
2014-01-25,91,"良",59,133,50,1.3,36,38,66
2014-01-26,105,"轻度污染",79,140,57,1.8,42,37,119
2014-01-27,125,"轻度污染",95,168,73,2.3,45,38,130
2014-01-28,88,"良",60,125,43,1.4,31,41,96
2014-01-29,120,"轻度污染",68,191,43,1.3,29,42,122
2014-01-30,136,"轻度污染",103,189,71,2,40,39,78
2014-01-31,203,"重度污染",153,230,98,2.1,35,40,79
2014-02-01,97,"良",73,125,69,1.7,32,48,75
2014-02-02,90,"良",67,120,63,1.8,32,42,60
2014-02-03,105,"轻度污染",67,161,47,1.5,32,43,146
2014-02-04,113,"轻度污染",64,175,42,1.4,25,45,168
2014-02-05,108,"轻度污染",72,167,39,1.4,24,49,176
2014-02-06,106,"轻度污染",70,162,31,1.4,21,44,164
2014-02-07,179,"中度污染",119,307,46,1.8,39,33,175
