"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,251,"重度污染",201,313,155,3.2,77,17,90
2013-12-03,127,"轻度污染",97,153,69,2.1,50,31,39
2013-12-04,90,"良",57,130,90,2.2,52,25,13
2013-12-05,77,"良",41,104,70,1.9,48,34,23
2013-12-06,123,"轻度污染",88,195,97,2.3,67,26,46
2013-12-07,164,"中度污染",125,219,85,2.5,77,27,39
2013-12-08,116,"轻度污染",88,154,62,2,52,25,31
2013-12-09,66,"良",31,82,50,1.5,43,30,15
2013-12-10,107,"轻度污染",74,165,68,2.1,53,22,46
2013-12-11,99,"良",71,147,61,2.6,58,32,53
2013-12-12,104,"轻度污染",78,140,84,3,66,25,41
2013-12-13,138,"轻度污染",106,157,90,3.5,76,29,69
2013-12-14,127,"轻度污染",96,148,99,3.3,70,25,53
2013-12-15,80,"良",59,102,59,2.8,52,30,42
2013-12-16,127,"轻度污染",97,152,61,3.1,64,19,69
2013-12-17,258,"重度污染",208,349,81,3.4,69,21,96
2013-12-21,419,"严重污染",379,518,92,4.4,87,15,113
2013-12-22,481,"严重污染",431,581,136,5.1,96,16,112
2013-12-26,136,"轻度污染",104,185,52,2.9,55,28,59
2013-12-27,109,"轻度污染",82,154,61,2.8,57,30,69
2013-12-28,144,"轻度污染",111,181,70,3.2,66,32,96
2013-12-29,169,"中度污染",128,219,84,3.6,78,31,103
2013-12-30,129,"轻度污染",99,169,58,3.5,68,34,66
2013-12-31,94,"良",68,137,53,3.6,60,30,42
2014-01-01,120,"轻度污染",91,189,71,3.9,68,24,80
2014-01-02,117,"轻度污染",89,178,66,3.7,64,22,68
2014-01-03,92,"良",50,134,49,2.7,52,32,49
2014-01-04,112,"轻度污染",74,173,67,3.4,65,23,73
2014-01-05,201,"重度污染",151,288,108,4.2,82,17,136
2014-01-06,218,"重度污染",168,311,147,4.3,84,16,145
2014-01-07,118,"轻度污染",89,165,64,3,52,17,97
2014-01-08,72,"良",34,95,45,2.4,40,33,85
2014-01-09,95,"良",64,139,80,2.8,55,19,131
2014-01-10,180,"中度污染",136,236,119,3,76,15,152
2014-01-11,169,"中度污染",129,218,94,2.7,68,21,134
2014-01-12,92,"良",48,134,63,2.2,56,25,86
2014-01-13,118,"轻度污染",81,186,76,2.8,63,19,121
2014-01-14,186,"中度污染",140,264,97,3.4,81,16,141
2014-01-15,271,"重度污染",221,363,119,3.7,90,18,152
2014-01-16,322,"严重污染",272,397,122,4,99,18,177
2014-01-17,237,"重度污染",187,272,84,3.4,87,22,149
2014-01-18,123,"轻度污染",93,174,91,2.6,72,21,66
2014-01-19,101,"轻度污染",57,151,60,2,59,35,28
2014-01-20,78,"良",46,106,53,2.1,60,35,44
2014-01-21,107,"轻度污染",78,164,65,2.6,69,22,133
2014-01-22,191,"中度污染",144,231,95,3.1,91,24,178
2014-01-23,248,"重度污染",198,292,113,3.4,97,28,180
2014-01-24,224,"重度污染",174,282,100,2.7,79,21,158
2014-01-25,131,"轻度污染",100,190,77,2.5,70,24,104
2014-01-26,169,"中度污染",128,219,86,2.4,65,29,159
2014-01-27,253,"重度污染",203,290,81,2.8,75,35,169
2014-01-28,250,"重度污染",200,283,89,2.9,77,35,170
2014-01-29,292,"重度污染",242,331,82,3.1,84,53,179
2014-01-30,352,"严重污染",302,410,93,3.3,89,77,185
2014-02-01,395,"严重污染",345,453,69,3.8,73,38,187
2014-02-02,432,"严重污染",398,511,65,4.3,87,62,186
2014-02-03,254,"重度污染",204,327,52,2.7,54,51,188
2014-02-04,122,"轻度污染",63,195,54,2,36,35,171
2014-02-05,83,"良",61,87,30,1.9,30,27,158
2014-02-06,100,"良",75,95,48,1.8,33,23,160
2014-02-07,236,"重度污染",186,242,57,2.3,61,28,181
2014-02-08,230,"重度污染",180,231,73,2.4,46,23,187
2014-02-09,93,"良",70,100,56,1.9,37,39,175
2014-02-10,110,"轻度污染",83,115,58,2,43,40,172
2014-02-11,164,"中度污染",125,164,88,2.1,52,31,179
2014-02-12,232,"重度污染",182,231,90,2.5,56,34,183
2014-02-13,201,"重度污染",151,186,101,2.4,52,43,174
2014-02-14,235,"重度污染",185,235,97,2.6,58,36,173
2014-02-15,298,"重度污染",248,313,86,3,63,25,180
2014-02-16,278,"重度污染",228,290,77,2.8,61,23,178
2014-02-17,183,"中度污染",138,171,44,2.5,46,20,171
2014-02-18,194,"中度污染",146,181,59,2.3,46,33,188
2014-02-19,173,"中度污染",131,167,55,2.4,56,49,183
2014-02-20,194,"中度污染",146,206,59,2.4,56,34,164
2014-02-21,258,"重度污染",208,292,90,2.4,64,25,178
2014-02-22,292,"重度污染",242,336,80,2.6,64,29,179
2014-02-23,296,"重度污染",246,345,75,2.7,66,30,180
2014-02-24,291,"重度污染",241,343,68,2.8,62,23,173
2014-02-25,296,"重度污染",246,355,58,2.8,61,28,172
2014-02-26,213,"重度污染",163,255,44,2.6,50,19,168
2014-02-27,124,"轻度污染",70,199,43,2.1,41,30,156
2014-02-28,117,"轻度污染",89,122,38,2.1,38,21,176
2014-03-01,174,"中度污染",132,185,43,2.6,51,15,181
2014-03-02,209,"重度污染",159,242,55,2.9,59,14,176
2014-03-03,250,"重度污染",200,303,53,3,63,14,184
2014-03-04,142,"轻度污染",108,173,50,2.3,48,43,175
2014-03-05,149,"轻度污染",114,191,52,2.5,53,26,178
2014-03-06,166,"中度污染",126,161,44,2.8,49,15,185
2014-03-07,149,"轻度污染",114,160,44,2.6,43,25,177
2014-03-08,123,"轻度污染",94,138,48,3,49,49,150
2014-03-09,108,"轻度污染",81,158,45,3.2,58,64,133
2014-03-10,146,"轻度污染",112,210,50,3,59,64,142
2014-03-11,102,"轻度污染",77,151,44,2.2,48,44,90
2014-03-12,106,"轻度污染",35,163,25,1.7,32,57,137
2014-03-13,75,"良",33,100,34,1.7,41,61,103
2014-03-14,96,"良",50,142,34,2,52,50,132
2014-03-15,108,"轻度污染",61,167,37,2.1,52,69,124
2014-03-16,119,"轻度污染",76,189,35,2.3,61,67,122
2014-03-17,144,"轻度污染",88,237,34,2.3,53,61,134
2014-03-18,214,"重度污染",110,360,36,2.2,55,20,164
2014-03-19,113,"轻度污染",74,175,30,2,42,52,130
2014-03-20,74,"良",27,99,18,1.6,33,56,84
2014-03-21,97,"良",50,144,29,2,51,58,166
2014-03-22,111,"轻度污染",70,172,38,2.5,59,74,156
2014-03-23,105,"轻度污染",71,160,38,2.4,55,69,118
2014-03-24,88,"良",52,125,39,2,44,69,77
2014-03-25,102,"轻度污染",67,154,28,2.1,53,87,93
2014-03-26,126,"轻度污染",81,203,34,2.1,64,100,118
2014-03-27,103,"轻度污染",58,156,23,1.6,42,67,80
2014-03-28,167,"中度污染",71,283,25,1.5,45,42,173
2014-03-29,245,"重度污染",93,382,33,1.7,56,74,189
2014-03-30,122,"轻度污染",81,195,26,1.8,59,53,149
2014-03-31,111,"轻度污染",84,145,19,1.8,36,54,150
2014-04-01,101,"轻度污染",76,150,26,1.9,58,71,132
2014-04-02,108,"轻度污染",77,166,32,1.8,62,48,154
2014-04-03,102,"轻度污染",77,137,28,1.8,52,59,156
2014-04-04,102,"轻度污染",77,136,31,1.9,52,54,142
2014-04-05,90,"良",59,130,24,1.9,49,76,122
2014-04-06,107,"轻度污染",52,165,27,1.8,51,69,162
2014-04-07,91,"良",53,131,20,1.9,48,98,112
2014-04-08,107,"轻度污染",62,164,23,2.1,63,97,94
2014-04-09,115,"轻度污染",80,180,24,2.2,60,108,112
2014-04-10,119,"轻度污染",90,188,22,2.3,61,62,133
2014-04-11,81,"良",60,91,10,2.2,37,31,85
2014-04-12,76,"良",56,91,12,2.2,46,62,91
2014-04-13,95,"良",71,134,13,2.3,49,106,121
2014-04-14,101,"轻度污染",76,144,14,2,42,62,108
2014-04-15,70,"良",49,90,9,1.3,34,61,42
2014-04-16,70,"良",47,91,9,1.4,34,36,69
2014-04-17,81,"良",57,113,14,1.6,47,56,91
