"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,163,"中度污染",124,210,181,3.3,88,64,60
2013-12-03,156,"中度污染",119,189,175,3.5,83,64,65
2013-12-04,127,"轻度污染",96,174,121,2.8,72,87,45
2013-12-05,100,"良",75,126,112,2.7,64,79,44
2013-12-06,135,"轻度污染",103,168,105,2.8,72,71,48
2013-12-07,209,"重度污染",159,245,128,3.4,85,64,61
2013-12-08,232,"重度污染",182,215,45,3.8,56,58,66
2013-12-09,94,"良",70,102,71,2.6,47,82,48
2013-12-10,93,"良",69,128,136,2.5,54,70,43
2013-12-11,71,"良",38,83,92,2.2,48,80,19
2013-12-12,95,"良",53,109,140,2.6,60,55,25
2013-12-13,113,"轻度污染",85,144,109,2.9,68,43,48
2013-12-14,200,"中度污染",150,228,218,3.7,86,43,84
2013-12-15,274,"重度污染",224,273,112,3.9,91,36,104
2013-12-16,359,"严重污染",309,408,100,4.6,108,34,108
2013-12-17,291,"重度污染",241,287,146,4.6,100,34,109
2013-12-18,93,"良",69,90,92,2.8,52,42,65
2013-12-19,195,"中度污染",146,273,128,3.6,82,37,86
2013-12-20,262,"重度污染",212,345,124,4.5,112,33,98
2013-12-21,221,"重度污染",171,224,104,3.5,96,40,97
2013-12-22,254,"重度污染",204,292,176,3.7,107,42,101
2013-12-23,407,"严重污染",348,507,199,5.1,149,32,105
2013-12-24,457,"严重污染",435,552,76,4.6,146,32,103
2013-12-25,332,"严重污染",282,316,181,2.5,112,33,95
2013-12-26,93,"良",69,102,65,1.6,54,45,39
2013-12-27,80,"良",35,48,110,1.5,49,44,9
2013-12-28,67,"良",39,63,84,1.8,50,63,11
2013-12-29,67,"良",34,70,82,1.6,53,57,4
2013-12-30,85,"良",48,120,82,1.7,57,59,10
2013-12-31,86,"良",42,121,79,1.7,53,40,28
2013-12-01,127,"轻度污染",96,174,122,3.8,65,35,0
2014-01-01,94,"良",47,137,106,2,60,37,39
2014-01-02,113,"轻度污染",76,176,142,2.5,72,20,64
2014-01-03,76,"良",38,102,95,1.9,52,38,41
2014-01-04,121,"轻度污染",81,192,98,2.5,78,23,70
2014-01-05,139,"轻度污染",106,184,139,3,81,32,72
2014-01-06,183,"中度污染",138,190,102,3.1,82,23,108
2014-01-07,216,"重度污染",166,228,164,3.7,95,18,155
2014-01-08,105,"轻度污染",79,102,97,3,69,19,152
2014-01-09,112,"轻度污染",84,128,64,2.7,56,30,145
2014-01-10,196,"中度污染",147,235,97,3.2,69,18,155
2014-01-11,238,"重度污染",188,276,106,3.6,75,16,163
2014-01-12,80,"良",59,89,78,2.8,52,38,89
2014-01-13,129,"轻度污染",98,175,90,3.2,67,25,125
2014-01-14,185,"中度污染",139,191,35,3.1,54,22,145
2014-01-15,230,"重度污染",180,255,59,3.7,64,20,134
2014-01-16,238,"重度污染",188,263,126,4,80,28,148
2014-01-17,307,"严重污染",257,324,117,4.6,85,25,172
2014-01-18,258,"重度污染",208,273,90,4.2,73,42,162
2014-01-19,145,"轻度污染",111,176,80,3.1,48,35,100
2014-01-20,54,"良",23,57,55,1.9,34,49,11
2014-01-21,76,"良",45,102,55,0.9,48,43,63
2014-01-22,104,"轻度污染",78,146,73,1.3,64,47,119
2014-01-23,159,"中度污染",121,186,87,1.9,77,48,147
2014-01-24,245,"重度污染",195,280,148,3.8,96,17,170
2014-01-25,179,"中度污染",135,185,119,3.2,69,43,145
2014-01-26,69,"良",50,74,53,1.2,43,44,77
2014-01-27,115,"轻度污染",87,134,72,1.8,61,42,113
2014-01-28,133,"轻度污染",101,141,78,2.2,56,50,136
2014-01-29,182,"中度污染",137,183,74,2.3,53,66,155
2014-01-30,243,"重度污染",193,261,92,2.9,58,47,150
2014-01-31,314,"严重污染",209,431,27,3.1,42,19,140
2014-02-01,230,"重度污染",180,214,104,3.8,59,18,156
2014-02-02,258,"重度污染",208,245,73,3.7,50,30,170
2014-02-03,25,"优",0,0,0,0,0,49,130
2014-02-04,62,"良",44,46,24,1.2,26,42,117
2014-02-05,52,"良",36,46,17,1.3,22,37,90
2014-02-06,73,"良",53,93,38,1.9,33,36,131
2014-02-07,138,"轻度污染",105,162,82,2.3,42,41,170
2014-02-08,130,"轻度污染",99,122,59,1.7,32,49,168
2014-02-09,70,"良",51,62,39,1.6,25,46,135
2014-02-10,45,"优",20,45,39,1.4,32,50,27
2014-02-11,82,"良",60,104,60,1.8,46,42,94
2014-02-12,130,"轻度污染",99,111,48,1.8,37,72,129
2014-02-13,201,"重度污染",151,182,130,2.5,58,39,167
2014-02-14,213,"重度污染",163,217,116,2.4,58,58,167
2014-02-15,204,"重度污染",154,195,67,2.1,50,51,154
2014-02-16,225,"重度污染",175,214,43,2.5,56,36,162
2014-02-17,207,"重度污染",157,168,44,2.7,47,31,184
2014-02-18,83,"良",61,99,44,1.6,39,41,116
2014-02-19,162,"中度污染",123,186,75,2.3,48,41,172
2014-02-20,245,"重度污染",195,315,55,2.7,59,30,183
2014-02-21,133,"轻度污染",101,154,48,2,49,49,57
2014-02-22,160,"中度污染",122,183,39,2.1,56,44,117
2014-02-23,183,"中度污染",138,186,34,1.8,49,47,130
2014-02-24,250,"重度污染",200,266,32,2.3,50,48,166
2014-02-25,222,"重度污染",172,225,37,2,51,49,160
2014-02-26,133,"轻度污染",101,0,41,1.5,45,33,114
2014-02-27,109,"轻度污染",82,0,41,1.5,32,50,158
2014-02-28,67,"良",48,84,36,1.4,39,30,101
2014-03-01,138,"轻度污染",105,187,43,1.7,47,32,171
2014-03-02,170,"中度污染",129,244,0,0,46,42,164
2014-03-03,114,"轻度污染",86,148,42,1.6,44,75,139
2014-03-04,186,"中度污染",140,203,69,2.3,52,61,179
2014-03-05,67,"良",48,79,34,1.5,48,28,83
2014-03-06,88,"良",65,115,35,1.6,47,33,138
2014-03-07,90,"良",67,108,41,1.8,46,59,140
2014-03-08,124,"轻度污染",94,161,78,2.1,59,54,149
2014-03-09,105,"轻度污染",79,151,84,2,54,65,142
2014-03-10,79,"良",58,103,50,1.7,41,87,70
2014-03-11,93,"良",69,110,51,2,52,67,70
2014-03-12,134,"轻度污染",98,218,37,2.4,48,40,157
2014-03-13,90,"良",57,130,64,2.1,49,54,122
2014-03-14,84,"良",44,118,59,1.9,55,48,115
2014-03-15,96,"良",68,141,58,2.2,64,66,122
2014-03-16,108,"轻度污染",80,165,64,2.2,66,82,112
2014-03-17,158,"中度污染",120,224,84,2,69,83,130
2014-03-18,177,"中度污染",124,303,52,1.7,50,52,167
2014-03-19,81,"良",58,111,43,1.8,44,55,82
2014-03-20,74,"良",47,97,45,1.8,53,59,80
2014-03-21,110,"轻度污染",83,153,80,2.1,69,74,173
2014-03-22,99,"良",74,139,59,2,71,94,131
2014-03-23,95,"良",71,121,38,2,66,72,91
2014-03-24,138,"轻度污染",105,162,82,2.3,67,82,148
2014-03-25,196,"中度污染",147,230,82,2.5,83,66,154
2014-03-26,195,"中度污染",146,213,57,2.4,62,88,161
2014-03-27,95,"良",71,125,30,2.1,41,136,66
2014-03-28,94,"良",62,138,46,1.9,52,75,104
2014-03-29,163,"中度污染",124,217,52,2.4,56,111,161
2014-03-30,178,"中度污染",134,176,37,2.3,57,53,184
2014-03-31,103,"轻度污染",77,137,59,2.1,57,94,146
2014-04-01,117,"轻度污染",84,183,66,2.4,65,95,151
2014-04-02,88,"良",63,125,42,2.2,62,96,107
2014-04-03,105,"轻度污染",62,159,31,2.3,61,65,154
2014-04-04,129,"轻度污染",81,207,65,2.6,77,82,173
2014-04-05,128,"轻度污染",47,206,43,2.1,45,72,168
2014-04-06,84,"良",53,118,37,2.2,60,77,106
2014-04-07,104,"轻度污染",73,158,52,2.4,67,78,133
2014-04-08,156,"中度污染",119,201,43,2.9,75,104,158
2014-04-09,115,"轻度污染",87,145,41,2.6,52,109,123
2014-04-10,109,"轻度污染",82,164,34,2.6,48,54,115
2014-04-11,82,"良",60,113,29,2.6,46,48,88
2014-04-12,172,"中度污染",130,200,42,3.4,66,50,177
2014-04-13,128,"轻度污染",97,170,41,2.6,60,76,161
2014-04-14,79,"良",52,107,30,2.2,44,74,54
2014-04-15,107,"轻度污染",80,0,22,2.2,42,60,132
2014-04-16,134,"轻度污染",102,157,35,2.5,50,70,183
2014-04-17,159,"中度污染",121,169,39,2.7,48,79,175
2014-04-18,176,"中度污染",133,158,28,2.5,37,54,177
2014-04-19,78,"良",57,0,21,1.6,39,62,143
2014-04-20,109,"轻度污染",82,146,36,1.6,67,62,164
2014-04-21,135,"轻度污染",103,204,30,1.8,73,44,168
2014-04-22,102,"轻度污染",76,123,49,1.6,44,81,141
2014-04-23,77,"良",54,103,32,1.4,40,72,62
2014-04-24,78,"良",57,105,27,1.4,49,79,65
2014-04-25,84,"良",62,0,26,1.5,58,43,109
2014-04-26,92,"良",56,134,53,1.5,51,40,152
2014-04-27,104,"轻度污染",67,158,47,1.6,58,68,155
2014-04-28,90,"良",61,130,41,1.5,62,74,145
2014-04-29,113,"轻度污染",85,163,51,1.7,73,90,156
2014-04-30,127,"轻度污染",96,179,52,1.8,68,92,153
2014-05-01,147,"轻度污染",105,244,56,1.8,66,72,163
2014-05-02,84,"良",36,117,38,1.4,42,55,88
2014-05-03,94,"良",54,137,43,1.4,54,79,125
2014-05-04,89,"良",39,128,28,1.1,38,62,165
2014-05-05,93,"良",57,135,35,1.3,51,85,163
2014-05-06,90,"良",57,130,38,1.3,50,80,117
2014-05-07,79,"良",58,0,36,1.3,40,87,87
2014-05-08,95,"良",71,132,29,1.4,34,98,91
2014-05-09,97,"良",72,123,24,1.5,32,115,123
2014-05-10,60,"良",43,0,21,1.6,29,69,91
2014-05-11,54,"良",38,0,30,1.5,36,68,139
2014-05-12,107,"轻度污染",56,163,41,1.5,59,73,174
2014-05-13,100,"良",75,145,38,1.7,58,78,125
2014-05-14,88,"良",50,126,39,1.6,47,55,114
2014-05-15,86,"良",43,121,48,1.4,45,64,111
2014-05-16,99,"良",67,148,57,1.8,67,55,103
2014-05-17,79,"良",55,107,37,1.7,52,80,66
2014-05-18,107,"轻度污染",80,148,36,1.8,50,93,127
2014-05-19,118,"轻度污染",89,153,47,1.7,49,54,144
2014-05-20,114,"轻度污染",86,178,49,1.4,42,76,125
2014-05-21,130,"轻度污染",99,177,31,1.6,43,90,121
2014-05-22,149,"轻度污染",114,169,23,1.8,44,92,157
2014-05-23,73,"良",48,95,17,1.5,28,82,86
2014-05-24,85,"良",63,0,15,1.6,24,79,129
2014-05-25,163,"中度污染",114,275,30,1.5,28,55,172
2014-05-26,132,"轻度污染",100,208,49,1.4,36,72,144
2014-05-27,123,"轻度污染",70,195,49,1.4,38,74,99
2014-05-28,108,"轻度污染",81,164,61,1.7,53,99,123
2014-05-29,121,"轻度污染",86,192,54,1.6,67,93,87
2014-05-30,140,"轻度污染",107,194,37,1.6,66,106,108
2014-05-31,152,"中度污染",116,183,25,1.8,57,66,141
2014-06-01,88,"良",65,0,17,1.7,22,115,113
2014-06-02,79,"良",41,107,16,1.6,18,90,121
2014-06-03,68,"良",41,86,16,1.5,28,102,81
2014-06-04,103,"轻度污染",77,147,38,1.7,62,114,138
2014-06-05,97,"良",72,0,32,1.6,48,125,96
2014-06-06,117,"轻度污染",88,153,43,1.9,44,134,128
2014-06-07,98,"良",73,0,28,2,29,118,124
2014-06-08,119,"轻度污染",89,187,35,1.6,39,156,130
2014-06-09,127,"轻度污染",79,204,32,1.5,54,143,172
2014-06-10,211,"重度污染",161,212,18,1.9,34,142,188
2014-06-11,185,"中度污染",139,178,15,1.7,29,108,186
2014-06-12,82,"良",56,114,17,1.3,37,114,71
2014-06-13,107,"轻度污染",80,161,46,1.6,58,95,88
2014-06-14,102,"轻度污染",76,115,36,1.5,47,87,76
2014-06-15,135,"轻度污染",103,147,15,1.6,37,70,126
2014-06-16,140,"轻度污染",107,157,11,1.8,35,82,151
2014-06-17,162,"中度污染",123,222,15,1.8,34,134,177
2014-06-18,127,"轻度污染",96,156,11,1.5,26,94,169
2014-06-19,108,"轻度污染",81,0,10,1.5,31,58,135
2014-06-20,68,"良",49,0,11,1.4,25,94,139
2014-06-21,93,"良",67,136,13,1.4,30,123,161
2014-06-22,94,"良",70,134,15,1,46,129,152
2014-06-23,72,"良",52,86,12,1,28,99,93
2014-06-24,90,"良",67,118,14,1,45,117,108
2014-06-25,54,"良",38,0,11,0.9,34,64,66
2014-06-26,87,"良",64,103,13,1.3,42,111,132
2014-06-27,82,"良",60,109,12,1.1,40,118,128
2014-06-28,95,"良",67,140,13,1.5,52,87,124
2014-06-29,80,"良",59,0,12,1.5,41,49,104
2014-06-30,122,"轻度污染",92,154,16,1.8,48,91,153
2014-07-01,90,"良",67,0,15,1.2,38,80,126
2014-07-02,82,"良",60,113,13,1.2,36,132,124
2014-07-03,103,"轻度污染",77,151,12,1.3,50,107,128
2014-07-04,54,"良",38,0,8,0.9,36,77,55
2014-07-05,99,"良",74,0,8,1,28,119,142
2014-07-06,128,"轻度污染",93,205,14,1.2,51,162,160
2014-07-07,111,"轻度污染",65,150,14,1,40,172,140
2014-07-08,103,"轻度污染",56,134,12,1,37,163,122
2014-07-09,90,"良",65,130,15,1.2,33,143,145
2014-07-10,78,"良",55,105,20,1.5,53,55,95
2014-07-11,118,"轻度污染",54,137,24,1.2,54,179,119
2014-07-12,93,"良",34,136,19,0.9,57,98,125
2014-07-13,128,"轻度污染",62,185,23,1.2,52,190,173
2014-07-14,133,"轻度污染",63,216,31,1.2,63,122,156
2014-07-15,120,"轻度污染",54,155,14,1,48,182,169
2014-07-16,76,"良",44,102,12,0.9,35,121,113
2014-07-17,73,"良",38,95,13,0.9,34,123,90
2014-07-18,64,"良",42,77,11,0.9,33,84,83
2014-07-19,69,"良",34,87,11,0.9,32,94,87
2014-07-20,71,"良",31,92,14,0.9,32,102,94
2014-07-21,72,"良",39,93,12,1,36,125,96
2014-07-22,69,"良",44,87,12,1.2,29,120,89
2014-07-23,73,"良",51,85,21,1.5,37,127,119
2014-07-24,73,"良",42,96,38,1.3,44,111,124
2014-07-25,96,"良",37,84,26,1.3,41,155,151
2014-07-26,110,"轻度污染",47,127,19,1.1,51,171,107
2014-07-27,112,"轻度污染",67,138,17,1.3,48,173,122
2014-07-28,100,"良",65,142,17,1.2,48,160,104
2014-07-29,72,"良",52,0,12,1,34,104,63
2014-07-30,52,"良",22,53,9,0.8,28,85,33
2014-07-31,89,"良",66,110,10,1.1,28,107,130
2014-08-01,139,"轻度污染",106,173,11,1.3,29,116,175
2014-08-02,110,"轻度污染",83,160,10,1.1,32,94,170
2014-08-03,99,"良",59,148,11,1.1,40,116,129
2014-08-04,90,"良",48,129,12,1.1,40,122,109
2014-08-05,56,"良",35,61,14,1.4,26,66,66
2014-08-06,54,"良",27,58,18,1.2,30,53,59
2014-08-07,42,"优",25,0,11,1,33,44,27
2014-08-08,69,"良",50,0,22,1.4,49,52,107
2014-08-09,57,"良",35,64,14,1.4,45,47,66
2014-08-10,119,"轻度污染",90,182,27,1.9,58,100,168
2014-08-11,175,"中度污染",132,234,20,1.8,55,102,181
2014-08-12,134,"轻度污染",102,156,18,1.5,41,98,180
2014-08-13,85,"良",63,119,27,1.1,36,106,163
2014-08-14,69,"良",50,0,15,1.1,28,114,118
2014-08-15,123,"轻度污染",85,196,34,1.2,48,127,169
2014-08-16,91,"良",67,132,17,1,38,86,133
2014-08-17,72,"良",51,94,16,1,32,74,108
2014-08-18,52,"良",36,0,14,0.9,28,98,82
2014-08-19,106,"轻度污染",68,161,21,1.1,43,116,157
2014-08-20,104,"轻度污染",77,158,20,1,50,137,139
2014-08-21,89,"良",63,127,25,1,50,96,97
2014-08-22,84,"良",54,118,25,1,49,86,96
2014-08-23,76,"良",43,102,30,0.9,47,53,96
2014-08-24,92,"良",55,134,31,1.2,45,83,167
2014-08-25,97,"良",59,143,32,1.2,49,88,156
2014-08-26,81,"良",52,112,15,1,41,70,90
2014-08-27,74,"良",54,0,14,1.1,40,60,113
2014-08-28,57,"良",40,0,15,1,33,79,77
2014-08-29,56,"良",29,62,16,1,36,76,65
2014-08-30,44,"优",27,0,11,1,35,49,22
2014-08-31,55,"良",32,59,11,1,29,71,57
2014-09-01,104,"轻度污染",78,126,16,1.5,54,33,171
2014-09-02,87,"良",64,108,20,1.3,34,68,177
2014-09-03,62,"良",33,74,23,1.3,40,72,118
2014-09-04,91,"良",48,131,38,1.3,53,83,114
2014-09-05,75,"良",42,100,20,1,37,80,75
2014-09-06,88,"良",50,126,17,1.1,46,72,99
2014-09-07,107,"轻度污染",80,139,18,1.5,52,34,140
2014-09-08,135,"轻度污染",103,138,14,1.7,35,37,177
2014-09-09,92,"良",68,102,14,1.7,43,59,153
2014-09-10,115,"轻度污染",87,168,19,1.6,39,87,176
2014-09-11,75,"良",55,0,11,1.2,27,53,160
2014-09-12,45,"优",24,45,12,1,22,62,68
2014-09-13,85,"良",63,100,21,1.5,35,76,164
2014-09-14,90,"良",67,75,16,1.6,34,72,171
2014-09-15,38,"优",0,0,13,1.3,30,43,24
2014-09-16,43,"优",11,17,12,1.3,34,40,4
2014-09-17,53,"良",23,45,15,1.8,42,34,62
2014-09-18,88,"良",65,125,24,2,55,30,159
2014-09-19,89,"良",66,95,33,1.8,46,72,152
2014-09-20,68,"良",46,86,21,1.4,49,73,107
2014-09-21,61,"良",37,71,15,1.3,45,88,73
2014-09-22,68,"良",43,86,16,1.2,54,90,88
2014-09-23,83,"良",46,106,25,1.3,66,79,132
2014-09-24,103,"轻度污染",77,118,37,1.7,44,93,167
2014-09-25,104,"轻度污染",78,105,25,1.5,50,87,147
2014-09-26,142,"轻度污染",108,196,23,1.6,65,102,169
2014-09-27,170,"中度污染",129,211,25,1.9,62,78,180
2014-09-28,55,"良",39,46,12,1.4,27,54,72
2014-09-29,75,"良",48,100,22,1.5,36,74,132
2014-09-30,72,"良",35,93,19,1.2,31,44,148
2014-10-01,93,"良",69,114,22,1.6,51,34,165
2014-10-02,91,"良",53,132,33,1.5,44,57,129
2014-10-03,186,"中度污染",140,188,19,2,51,86,185
2014-10-04,200,"中度污染",150,221,28,2.1,54,74,187
2014-10-05,217,"重度污染",167,187,25,2.4,44,78,188
2014-10-06,98,"良",73,116,26,1.5,48,61,158
2014-10-07,195,"中度污染",146,215,38,2,65,85,177
2014-10-08,242,"重度污染",192,234,31,2.3,68,76,184
2014-10-09,221,"重度污染",171,224,29,2,66,80,177
2014-10-10,159,"中度污染",121,145,23,1.8,60,65,164
2014-10-11,212,"重度污染",162,232,43,2.1,65,73,182
2014-10-12,65,"良",47,79,41,1.5,40,31,104
2014-10-13,81,"良",52,112,36,1.7,50,35,125
2014-10-14,98,"良",71,145,59,1.8,58,51,126
2014-10-15,85,"良",60,119,64,1.6,62,59,44
2014-10-16,96,"良",61,142,48,1.7,60,46,95
2014-10-17,117,"轻度污染",88,173,81,2,70,55,128
2014-10-18,130,"轻度污染",99,183,49,2,79,65,116
2014-10-19,162,"中度污染",123,148,30,2,58,38,171
2014-10-20,214,"重度污染",164,192,21,2.4,51,32,180
2014-10-21,192,"中度污染",144,173,26,2.4,55,57,185
2014-10-22,195,"中度污染",146,199,28,2.2,58,58,184
2014-10-23,182,"中度污染",137,194,29,2.1,53,62,171
2014-10-24,135,"轻度污染",103,176,27,2,56,60,160
2014-10-25,108,"轻度污染",81,164,29,1.8,58,63,120
2014-10-26,146,"轻度污染",111,242,36,2.2,43,85,172
2014-10-27,71,"良",35,91,38,1.5,36,46,70
2014-10-28,99,"良",66,148,30,1.7,45,50,139
2014-10-29,109,"轻度污染",82,135,29,1.7,45,43,149
2014-10-30,192,"中度污染",144,220,51,2.3,61,43,169
2014-10-31,237,"重度污染",187,249,80,2.5,60,63,174
2014-11-01,94,"良",70,102,52,1.9,45,34,132
2014-11-02,80,"良",26,110,36,1.5,35,54,162
2014-11-03,83,"良",43,116,66,1.8,52,49,150
2014-11-04,109,"轻度污染",69,167,54,2.2,73,52,156
2014-11-05,149,"轻度污染",114,230,73,2.7,74,29,179
2014-11-06,120,"轻度污染",91,153,36,2.5,50,49,144
2014-11-07,82,"良",60,94,35,2,47,29,124
2014-11-08,117,"轻度污染",88,134,39,2.4,60,44,166
2014-11-09,193,"中度污染",145,229,34,2.6,75,58,179
2014-11-10,162,"中度污染",123,182,53,2.6,76,41,146
2014-11-11,132,"轻度污染",100,141,49,2.4,47,58,133
2014-11-12,57,"良",24,63,31,1.7,37,53,57
2014-11-13,76,"良",41,101,45,1.6,51,48,106
2014-11-14,145,"轻度污染",111,225,74,1.9,64,48,181
2014-11-15,192,"中度污染",144,187,34,1.7,63,35,174
2014-11-16,162,"中度污染",123,199,49,1.9,59,49,162
2014-11-17,203,"重度污染",153,266,59,2,71,41,187
2014-11-18,189,"中度污染",142,262,72,1.8,77,52,185
2014-11-19,172,"中度污染",130,215,56,1.3,80,56,162
2014-11-20,259,"重度污染",209,359,81,2,102,38,179
2014-11-21,416,"严重污染",373,510,92,3.7,122,26,180
2014-11-22,420,"严重污染",380,421,70,3.6,97,38,188
2014-11-23,280,"重度污染",230,195,50,2.8,78,37,182
2014-11-24,238,"重度污染",188,168,65,2.6,67,48,181
2014-11-25,206,"重度污染",156,172,60,2.1,73,45,182
2014-11-26,178,"中度污染",134,166,45,1.7,62,34,173
2014-11-27,205,"重度污染",155,177,19,2.7,61,21,177
2014-11-28,159,"中度污染",121,147,27,2.3,61,25,185
2014-11-29,127,"轻度污染",96,92,9,1.7,44,30,152
2014-11-30,117,"轻度污染",88,156,29,1.4,40,50,158
2014-12-01,90,"良",35,129,26,1.1,38,42,163
2014-12-02,113,"轻度污染",70,175,46,1.5,58,35,175
2014-12-03,136,"轻度污染",93,221,72,1.8,57,43,148
2014-12-04,72,"良",28,93,43,1.4,42,61,110
2014-12-05,103,"轻度污染",69,155,92,1.9,69,46,143
2014-12-06,226,"重度污染",176,348,136,2.5,99,23,185
2014-12-07,121,"轻度污染",73,192,65,1.6,59,58,144
2014-12-08,211,"重度污染",161,274,50,2.5,78,42,186
2014-12-09,137,"轻度污染",104,155,37,1.8,68,27,150
2014-12-10,99,"良",59,148,36,1.4,40,52,115
2014-12-11,94,"良",46,137,52,1.6,50,36,121
2014-12-12,86,"良",32,121,47,1.5,39,58,116
2014-12-13,105,"轻度污染",60,160,77,1.8,64,44,136
2014-12-14,193,"中度污染",145,305,120,2.8,85,28,171
2014-12-15,176,"中度污染",90,301,69,2,49,55,164
2014-12-16,74,"良",22,98,32,1.5,30,55,103
2014-12-17,95,"良",51,140,71,2,59,44,151
2014-12-18,163,"中度污染",122,276,98,2.7,83,32,166
2014-12-19,138,"轻度污染",105,223,78,2.1,71,50,166
2014-12-20,128,"轻度污染",97,176,65,1.9,65,25,174
2014-12-21,73,"良",30,96,40,1.4,32,54,86
2014-12-22,97,"良",68,143,90,1.6,66,32,93
2014-12-23,201,"重度污染",151,303,117,2.5,88,36,174
2014-12-24,222,"重度污染",172,240,115,3.1,85,38,177
2014-12-25,165,"中度污染",125,157,60,2.1,69,32,167
2014-12-26,196,"中度污染",147,224,61,1.9,74,35,164
2014-12-27,276,"重度污染",226,359,135,2.6,88,26,182
2014-12-28,152,"中度污染",116,220,89,1.7,59,60,127
2014-12-29,169,"中度污染",113,287,111,1.9,77,48,129
2014-12-30,139,"轻度污染",106,221,129,1.6,75,55,121
2014-12-31,106,"轻度污染",50,162,56,1.2,45,0,261
2015-01-01,92,"良",54,134,96,1.4,56,36,231
2015-01-02,148,"轻度污染",113,228,107,2,72,32,320
2015-01-03,250,"重度污染",200,379,139,2.8,97,26,351
2015-01-04,327,"严重污染",248,441,101,3.1,110,30,342
2015-01-05,390,"严重污染",340,441,136,4,114,21,356
2015-01-06,101,"轻度污染",61,151,30,1.8,49,43,252
2015-01-07,153,"中度污染",117,243,99,2.6,72,28,344
2015-01-08,216,"重度污染",166,331,134,2.7,80,42,353
2015-01-09,139,"轻度污染",106,219,116,2.1,83,46,229
2015-01-10,273,"重度污染",223,365,133,3.3,116,36,354
2015-01-11,227,"重度污染",177,312,106,2.7,90,52,353
2015-01-12,140,"轻度污染",107,155,47,1.9,64,33,290
2015-01-13,180,"中度污染",136,186,26,1.6,66,30,325
2015-01-14,237,"重度污染",187,252,50,1.4,71,30,348
2015-01-15,304,"严重污染",254,341,47,2.1,75,19,354
2015-01-16,203,"重度污染",153,203,73,1.7,64,59,325
2015-01-17,169,"中度污染",128,184,44,1.6,70,63,332
2015-01-18,123,"轻度污染",79,195,60,1.2,50,68,245
2015-01-19,154,"中度污染",114,258,82,1.8,75,52,326
2015-01-20,236,"重度污染",186,301,129,2.1,102,28,362
2015-01-21,179,"中度污染",135,194,81,2.3,80,41,354
2015-01-22,132,"轻度污染",100,178,56,1.4,70,44,251
2015-01-23,196,"中度污染",147,244,74,1.9,98,34,333
2015-01-24,296,"重度污染",246,266,66,3,94,15,360
