"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,135,"轻度污染",103,175,59,1.4,52,48,44
2013-12-03,203,"重度污染",153,217,77,1.6,45,29,69
2013-12-04,187,"中度污染",141,198,47,1.5,42,40,66
2013-12-05,174,"中度污染",132,167,42,1.4,35,32,68
2013-12-06,165,"中度污染",125,171,41,1.5,36,20,67
2013-12-07,140,"轻度污染",107,151,43,1.5,39,18,30
2013-12-08,111,"轻度污染",84,113,41,1.2,29,13,30
2013-12-09,68,"良",50,85,53,1,31,19,21
2013-12-10,69,"良",50,73,48,1,29,8,15
2013-12-11,62,"良",45,66,29,0.9,29,12,18
2013-12-12,73,"良",54,88,36,1.1,31,19,23
2013-12-13,102,"轻度污染",76,124,44,1.3,42,13,44
2013-12-14,126,"轻度污染",96,134,44,1.4,36,9,52
2013-12-15,74,"良",54,69,28,1,30,16,37
2013-12-16,57,"良",40,58,26,0.9,27,36,40
2013-12-17,87,"良",64,92,23,1.1,35,19,67
2013-12-18,103,"轻度污染",77,110,40,1.1,38,16,75
2013-12-19,107,"轻度污染",80,117,56,1,38,27,51
2013-12-20,102,"轻度污染",77,111,34,1,32,21,43
2013-12-21,120,"轻度污染",91,129,53,1.1,34,16,58
2013-12-22,131,"轻度污染",100,150,42,1.2,39,19,45
2013-12-23,176,"中度污染",133,194,74,1.4,40,11,64
2013-12-24,204,"重度污染",154,221,72,1.7,43,7,61
2013-12-25,236,"重度污染",186,255,78,1.9,46,8,63
2013-12-26,208,"重度污染",158,194,60,1.6,38,5,85
2013-12-27,147,"轻度污染",112,135,50,1.3,33,5,91
2013-12-28,129,"轻度污染",98,121,39,1.3,32,10,78
2013-12-29,132,"轻度污染",101,126,42,1.4,32,10,79
2013-12-30,137,"轻度污染",105,137,49,1.5,38,13,77
2013-12-31,142,"轻度污染",109,151,40,1.5,42,12,124
2014-01-01,149,"轻度污染",114,162,62,1.5,41,13,123
2014-01-02,176,"中度污染",133,186,62,1.3,40,15,127
2014-01-03,209,"重度污染",159,230,56,1.6,52,29,141
2014-01-04,206,"重度污染",156,226,42,1.7,55,40,166
2014-01-05,210,"重度污染",160,214,37,1.6,47,33,145
2014-01-06,202,"重度污染",152,207,41,1.8,44,7,124
2014-01-07,159,"中度污染",121,160,49,1.4,38,11,127
2014-01-08,118,"轻度污染",89,110,44,1.2,36,9,146
2014-01-09,117,"轻度污染",89,114,40,1.3,36,9,149
2014-01-10,97,"良",73,95,31,1.3,36,12,82
2014-01-11,111,"轻度污染",84,114,43,1.5,39,9,88
2014-01-12,122,"轻度污染",92,119,39,1.6,37,7,112
2014-01-13,107,"轻度污染",81,112,40,1.4,39,36,107
2014-01-14,105,"轻度污染",79,113,31,1.5,41,43,84
2014-01-15,136,"轻度污染",103,158,49,1.6,50,24,93
2014-01-16,198,"中度污染",149,195,56,1.7,43,11,123
2014-01-17,190,"中度污染",143,194,56,1.7,53,20,108
2014-01-18,164,"中度污染",125,178,37,1.6,48,47,88
2014-01-19,203,"重度污染",153,208,51,1.6,44,32,119
2014-01-20,153,"中度污染",117,174,46,1.5,44,44,123
2014-01-21,177,"中度污染",134,183,31,1.4,41,28,183
2014-01-22,143,"轻度污染",109,174,38,1.4,56,49,160
2014-01-23,162,"中度污染",123,204,68,1.7,73,32,150
2014-01-24,197,"中度污染",148,226,70,1.7,69,50,145
2014-01-25,201,"重度污染",151,220,65,1.6,63,47,151
2014-01-26,221,"重度污染",171,235,50,1.9,59,40,168
2014-01-27,182,"中度污染",137,185,37,1.8,48,23,154
2014-01-28,239,"重度污染",189,247,64,2,48,13,167
2014-01-29,232,"重度污染",182,238,45,2,48,27,166
2014-01-30,201,"重度污染",151,210,30,1.8,38,35,109
2014-01-31,248,"重度污染",198,266,28,1.7,31,28,120
2014-02-01,224,"重度污染",174,233,27,1.8,35,35,154
2014-02-02,194,"中度污染",146,198,24,1.8,32,49,113
2014-02-03,173,"中度污染",131,175,24,2.1,35,38,173
2014-02-04,140,"轻度污染",107,144,21,1.9,28,53,175
2014-02-05,65,"良",47,66,19,1.9,24,56,128
2014-02-06,47,"优",33,43,15,1.6,18,22,95
2014-02-07,55,"良",39,52,14,1.1,22,9,86
2014-02-08,53,"良",37,49,13,1.1,19,14,58
2014-02-09,26,"优",18,25,12,0.9,18,23,21
2014-02-10,63,"良",46,59,23,1.2,20,45,123
2014-02-11,86,"良",64,82,33,1.2,25,38,108
2014-02-12,87,"良",65,84,30,1,24,56,77
2014-02-13,97,"良",73,99,37,1,30,63,103
2014-02-14,117,"轻度污染",89,121,45,1.1,37,50,99
2014-02-15,123,"轻度污染",93,130,40,1.1,40,37,91
2014-02-16,138,"轻度污染",105,147,47,1.1,40,31,135
2014-02-17,160,"中度污染",122,164,40,1.2,36,28,161
2014-02-18,65,"良",47,65,25,1.1,26,24,92
2014-02-19,78,"良",58,82,28,1.2,34,55,84
2014-02-20,81,"良",60,82,35,1.1,34,44,75
2014-02-21,154,"中度污染",118,172,67,1.5,56,32,114
2014-02-22,189,"中度污染",142,197,66,1.5,52,23,153
2014-02-23,223,"重度污染",173,242,80,1.7,52,20,158
2014-02-24,193,"中度污染",145,202,52,1.8,50,8,140
2014-02-25,140,"轻度污染",107,151,39,1.6,41,14,102
2014-02-26,97,"良",73,109,33,1.4,42,14,86
2014-02-27,84,"良",63,88,30,1.4,39,10,86
2014-02-28,51,"良",33,52,20,1.1,29,14,47
2014-03-01,51,"良",32,52,35,1.3,32,9,49
2014-03-02,42,"优",28,42,27,1.3,30,11,21
2014-03-03,56,"良",38,63,30,1.1,32,31,35
2014-03-04,66,"良",48,79,43,1.2,35,39,74
2014-03-05,80,"良",59,99,33,1.2,38,46,111
2014-03-06,71,"良",52,80,28,0.9,31,48,117
2014-03-07,50,"优",28,50,23,0.9,29,62,42
2014-03-08,59,"良",38,68,48,1,35,41,64
2014-03-09,82,"良",60,100,41,1.1,36,74,94
2014-03-10,87,"良",65,109,49,1.2,41,88,81
2014-03-11,85,"良",63,103,51,1.1,40,94,58
2014-03-12,107,"轻度污染",81,128,74,1.1,43,73,138
2014-03-13,91,"良",68,110,34,1.2,36,44,144
2014-03-14,59,"良",38,69,23,0.8,31,37,9
2014-03-15,69,"良",51,80,34,1.2,39,45,12
2014-03-16,81,"良",60,102,38,1.2,42,116,31
2014-03-17,94,"良",70,119,50,1.3,53,109,53
2014-03-18,136,"轻度污染",104,164,66,1.4,57,137,104
2014-03-19,143,"轻度污染",109,180,78,1.6,56,106,168
2014-03-20,43,"优",28,43,11,0.8,18,82,8
2014-03-21,39,"优",26,39,20,0.8,28,39,4
2014-03-22,57,"良",40,65,40,1,36,22,13
2014-03-23,76,"良",56,92,77,1.2,44,13,46
2014-03-24,90,"良",67,105,44,1.3,43,9,84
2014-03-25,94,"良",70,106,43,1.3,48,56,75
2014-03-26,95,"良",71,113,41,1.2,49,108,68
2014-03-27,115,"轻度污染",87,136,56,1.4,60,78,103
2014-03-28,92,"良",69,102,34,1.3,45,50,107
2014-03-29,68,"良",50,78,22,1.2,35,110,64
2014-03-30,40,"优",26,40,11,0.8,27,79,9
2014-03-31,55,"良",39,56,18,0.9,33,73,35
2014-04-01,46,"优",33,43,16,1,37,42,12
2014-04-02,55,"良",39,58,25,1,33,76,29
2014-04-03,75,"良",55,87,34,1.2,49,58,91
2014-04-04,90,"良",67,94,35,1.1,40,67,114
2014-04-05,77,"良",57,72,23,1.1,36,54,71
2014-04-06,63,"良",46,62,20,1,30,72,41
2014-04-07,69,"良",50,78,30,1.2,40,84,50
2014-04-08,88,"良",66,102,39,1.4,47,114,65
2014-04-09,72,"良",52,89,42,1.3,46,68,37
2014-04-10,90,"良",67,101,34,1.5,45,43,85
2014-04-11,81,"良",60,86,25,1.4,39,28,87
2014-04-12,59,"良",39,66,25,1.3,33,111,46
2014-04-13,44,"优",27,44,24,1.2,25,81,9
2014-04-14,48,"优",26,48,24,1.1,30,64,8
2014-04-15,53,"良",33,55,25,1.2,29,68,13
2014-04-16,70,"良",51,87,34,1.3,37,94,66
2014-04-17,71,"良",52,85,30,1.2,29,113,67
2014-04-18,71,"良",52,81,20,1.1,29,97,74
2014-04-19,38,"优",20,38,15,1.1,24,65,10
2014-04-20,31,"优",18,31,14,1.2,22,41,6
2014-04-21,30,"优",19,30,13,1.1,24,39,4
2014-04-22,48,"优",28,48,28,1.1,33,60,25
2014-04-23,53,"良",29,56,26,1.1,38,61,19
2014-04-24,65,"良",45,81,38,1.1,43,61,41
2014-04-25,54,"良",33,57,23,1,34,50,40
2014-04-26,73,"良",49,97,24,0.8,29,26,124
2014-04-27,60,"良",43,71,18,0.9,28,74,66
2014-04-28,55,"良",39,58,18,1.1,39,54,20
2014-04-29,63,"良",43,75,19,0.9,34,90,14
2014-04-30,78,"良",53,104,24,1.1,46,134,40
2014-05-01,78,"良",49,96,22,0.9,39,133,36
2014-05-02,81,"良",57,112,18,0.9,29,86,69
2014-05-03,37,"优",26,37,11,0.9,26,29,2
2014-05-04,33,"优",22,33,14,0.9,27,48,4
2014-05-05,57,"良",32,63,27,0.9,37,79,61
2014-05-06,67,"良",32,68,26,0.8,36,120,55
2014-05-07,97,"良",46,96,33,0.9,50,156,116
2014-05-08,92,"良",68,124,34,1.2,55,107,92
2014-05-09,137,"轻度污染",105,165,32,1.3,46,34,178
2014-05-10,60,"良",43,64,13,1,29,33,88
2014-05-11,69,"良",30,58,21,0.9,32,123,146
2014-05-12,66,"良",45,81,28,1.2,45,92,62
2014-05-13,82,"良",60,101,28,1.3,40,40,84
2014-05-14,62,"良",43,74,17,1,29,83,58
2014-05-15,61,"良",36,72,27,0.9,36,58,53
2014-05-16,59,"良",42,67,15,0.9,33,59,32
2014-05-17,75,"良",51,88,22,1,34,130,63
2014-05-18,96,"良",57,96,22,1.1,37,155,119
2014-05-19,92,"良",69,103,16,1.2,34,130,108
2014-05-20,90,"良",67,104,16,1.2,35,96,84
2014-05-21,39,"优",24,39,10,0.8,29,56,13
2014-05-22,56,"良",36,62,18,1.2,32,41,35
2014-05-23,55,"良",33,60,17,1.2,36,32,45
2014-05-24,69,"良",50,88,21,1.3,40,49,108
2014-05-25,66,"良",43,83,13,1.2,31,40,70
2014-05-26,56,"良",32,62,10,0.8,25,42,33
2014-05-27,75,"良",53,99,19,1,36,83,41
2014-05-28,87,"良",63,125,17,1.1,39,82,75
2014-05-29,85,"良",62,120,19,1.2,41,100,54
2014-05-30,89,"良",66,120,31,1.3,42,95,72
2014-05-31,58,"良",40,65,22,0.9,27,78,42
2014-06-01,105,"轻度污染",42,73,16,0.9,27,165,143
2014-06-02,88,"良",44,68,9,1,33,146,139
2014-06-03,78,"良",29,43,7,0.9,16,133,111
2014-06-04,68,"良",49,75,16,1.2,33,99,67
2014-06-05,74,"良",54,81,14,1.2,29,32,78
2014-06-06,47,"优",29,47,13,0.9,23,70,39
2014-06-07,59,"良",42,68,19,1,31,91,63
2014-06-08,70,"良",51,77,15,1.1,33,66,61
2014-06-09,56,"良",40,59,8,1.2,31,46,47
2014-06-10,40,"优",25,40,11,1,33,39,15
2014-06-11,52,"良",32,53,20,0.9,29,67,29
2014-06-12,63,"良",45,71,21,0.9,30,46,37
2014-06-13,49,"优",32,49,10,1,31,32,18
2014-06-14,46,"优",29,46,10,1,32,40,7
2014-06-15,58,"良",41,66,10,1.2,37,53,30
2014-06-16,60,"良",42,69,12,1.3,36,106,37
2014-06-17,145,"轻度污染",50,85,22,1.3,46,210,171
2014-06-18,133,"轻度污染",53,99,17,1.2,43,196,175
2014-06-19,65,"良",43,80,13,1.2,47,100,81
2014-06-20,44,"优",27,44,6,1,30,36,45
2014-06-21,37,"优",22,35,9,0.7,25,74,23
2014-06-22,39,"优",25,39,11,0.8,29,59,26
2014-06-23,37,"优",23,37,10,1,32,42,27
2014-06-24,45,"优",30,45,13,1,28,42,41
2014-06-25,31,"优",18,31,11,1,29,31,11
2014-06-26,54,"良",35,58,15,1.3,43,38,65
2014-06-27,84,"良",43,79,13,1.5,49,141,146
2014-06-28,63,"良",42,77,15,1.3,46,100,70
2014-06-29,24,"优",13,22,5,0.9,28,47,6
2014-06-30,30,"优",18,30,7,1.1,33,36,13
2014-07-01,32,"优",19,32,8,0.9,31,39,17
2014-07-02,86,"良",30,51,10,1.1,35,143,152
2014-07-03,53,"良",25,44,9,1,37,103,37
2014-07-04,84,"良",26,44,9,0.8,30,141,115
2014-07-05,99,"良",41,73,14,1.1,39,159,152
2014-07-06,67,"良",32,64,13,1,35,120,88
2014-07-07,102,"轻度污染",53,91,15,1.1,33,162,134
2014-07-08,121,"轻度污染",50,86,15,1,29,183,150
2014-07-09,76,"良",36,69,14,0.8,30,131,102
2014-07-10,63,"良",38,76,12,0.9,28,107,70
2014-07-11,46,"优",20,39,10,0.7,18,92,39
2014-07-12,41,"优",20,41,12,0.8,27,75,33
2014-07-13,109,"轻度污染",31,59,16,0.9,27,170,165
2014-07-14,77,"良",25,47,11,0.8,35,132,92
2014-07-15,59,"良",35,68,22,0.9,43,62,73
2014-07-16,116,"轻度污染",41,76,18,1,33,178,171
2014-07-17,123,"轻度污染",46,88,24,1,36,185,175
2014-07-18,69,"良",23,49,20,0.8,27,123,94
2014-07-19,45,"优",20,45,15,0.8,23,90,48
2014-07-20,39,"优",15,38,11,0.7,21,78,32
2014-07-21,48,"优",18,44,17,0.7,23,96,39
2014-07-22,85,"良",23,57,23,0.7,30,142,127
2014-07-23,172,"中度污染",40,86,31,0.8,35,237,187
2014-07-24,101,"轻度污染",29,59,14,0.7,25,161,169
2014-07-25,141,"轻度污染",35,69,20,0.8,34,205,181
2014-07-26,140,"轻度污染",42,85,27,0.8,37,204,161
2014-07-27,88,"良",35,64,22,0.7,25,146,101
2014-07-28,89,"良",34,65,23,0.8,28,147,89
2014-07-29,88,"良",30,66,23,0.8,32,146,90
2014-07-30,106,"轻度污染",28,61,24,0.7,30,167,160
2014-07-31,100,"良",35,77,27,0.8,30,160,150
2014-08-01,63,"良",24,49,15,0.8,27,116,109
2014-08-02,101,"轻度污染",32,62,16,0.9,32,161,153
2014-08-03,103,"轻度污染",39,71,22,0.9,32,163,142
2014-08-04,97,"良",39,76,19,0.9,31,156,124
2014-08-05,122,"轻度污染",40,72,24,0.9,37,184,168
2014-08-06,93,"良",34,65,21,0.8,34,151,164
2014-08-07,136,"轻度污染",34,68,24,0.8,27,200,187
2014-08-08,104,"轻度污染",28,51,9,0.8,21,164,170
2014-08-09,67,"良",31,53,8,1,23,120,117
2014-08-10,48,"优",24,45,13,1,20,96,30
2014-08-11,40,"优",15,26,6,1.1,21,79,24
2014-08-12,24,"优",11,19,7,0.8,20,48,3
2014-08-13,83,"良",18,39,12,0.8,26,140,157
2014-08-14,117,"轻度污染",40,76,21,1,43,179,185
2014-08-15,73,"良",46,91,27,1,50,127,98
2014-08-16,64,"良",45,78,23,0.9,38,92,73
2014-08-17,59,"良",41,67,15,1,30,62,82
2014-08-18,50,"优",29,50,11,1.1,26,100,53
2014-08-19,78,"良",29,52,15,1,27,133,115
2014-08-20,97,"良",42,75,20,1,39,156,136
2014-08-21,102,"轻度污染",41,75,22,0.9,37,162,119
2014-08-22,65,"良",47,78,16,0.9,30,110,65
2014-08-23,41,"优",26,41,8,0.8,25,56,20
2014-08-24,64,"良",45,77,18,1.1,43,70,114
2014-08-25,83,"良",47,82,19,1.2,41,140,128
2014-08-26,56,"良",35,61,14,1,34,99,45
2014-08-27,23,"优",13,23,8,0.8,27,38,4
2014-08-28,40,"优",23,40,9,1,34,35,28
2014-08-29,48,"优",27,47,15,1,28,96,30
2014-08-30,83,"良",29,57,16,1,30,139,136
2014-08-31,53,"良",30,53,11,0.9,29,104,68
2014-09-01,49,"优",27,49,8,1,29,47,61
2014-09-02,36,"优",19,36,11,0.9,27,52,21
2014-09-03,59,"良",39,67,20,1.1,36,88,126
2014-09-04,33,"优",19,33,11,0.8,29,61,6
2014-09-05,60,"良",30,57,20,1,33,112,47
2014-09-06,65,"良",43,79,25,1.2,37,115,45
2014-09-07,74,"良",54,85,15,1.2,25,80,87
2014-09-08,88,"良",57,100,16,1.3,28,145,140
2014-09-09,90,"良",67,115,17,1.3,30,142,146
2014-09-10,100,"良",59,97,13,1.1,30,160,168
2014-09-11,73,"良",52,95,17,1.1,34,122,135
2014-09-12,62,"良",40,74,11,1,27,80,133
2014-09-13,42,"优",23,42,10,1,21,29,57
2014-09-14,32,"优",17,32,9,0.9,20,27,11
2014-09-15,28,"优",14,28,9,0.9,16,21,11
2014-09-16,44,"优",25,44,11,1,26,33,67
2014-09-17,35,"优",20,35,9,1.2,22,22,43
2014-09-18,14,"优",9,14,7,1.1,22,17,2
2014-09-19,42,"优",25,42,10,1.2,34,32,31
2014-09-20,68,"良",36,65,14,1.5,37,121,100
2014-09-21,72,"良",32,68,18,1.2,38,126,120
2014-09-22,67,"良",31,71,18,0.9,43,120,85
2014-09-23,78,"良",57,92,21,1,41,81,137
2014-09-24,59,"良",42,65,12,0.9,34,88,89
2014-09-25,77,"良",57,91,19,1.1,45,74,84
2014-09-26,99,"良",74,112,16,1,45,48,123
2014-09-27,90,"良",67,94,12,1.1,34,24,104
2014-09-28,77,"良",57,88,12,1.1,36,30,107
2014-09-29,68,"良",46,87,15,1.2,42,101,123
2014-09-30,56,"良",34,63,14,1.1,37,67,111
2014-10-01,56,"良",38,61,12,1,36,46,53
2014-10-02,53,"良",33,55,11,1,31,88,33
2014-10-03,56,"良",32,62,13,1,37,66,42
2014-10-04,44,"优",25,44,8,0.9,32,60,10
2014-10-05,70,"良",51,88,14,1.1,39,102,81
2014-10-06,77,"良",57,101,20,1.1,48,114,93
2014-10-07,71,"良",52,91,20,1,44,125,27
2014-10-08,78,"良",57,99,20,1,50,124,52
2014-10-09,94,"良",70,119,26,1.1,53,122,103
2014-10-10,93,"良",69,116,26,1,53,117,103
2014-10-11,98,"良",74,122,23,1,55,150,127
2014-10-12,59,"良",38,69,21,0.6,30,82,71
2014-10-13,59,"良",42,59,19,0.7,28,19,71
2014-10-14,99,"良",74,96,29,0.8,42,39,132
2014-10-15,177,"中度污染",134,171,31,1.1,46,19,183
2014-10-16,103,"轻度污染",77,97,13,1.1,33,11,112
2014-10-17,52,"良",37,44,12,1.1,31,10,13
2014-10-18,80,"良",59,66,13,1.2,32,10,55
2014-10-19,93,"良",69,78,15,1.2,38,15,114
2014-10-20,132,"轻度污染",101,121,13,1.6,53,29,151
2014-10-21,124,"轻度污染",94,138,15,1.4,51,69,166
2014-10-22,85,"良",63,107,15,1.1,47,80,94
2014-10-23,86,"良",64,100,17,1,42,51,77
2014-10-24,138,"轻度污染",105,153,17,1.3,50,83,159
2014-10-25,206,"重度污染",156,208,23,1.3,61,79,177
2014-10-26,193,"中度污染",145,210,26,1.4,68,77,186
2014-10-27,213,"重度污染",163,237,27,1.5,65,42,189
2014-10-28,82,"良",60,80,9,1,35,34,111
2014-10-29,55,"良",39,59,11,1.2,38,36,54
2014-10-30,67,"良",49,77,13,1.3,43,19,88
2014-10-31,79,"良",58,87,20,1.3,39,15,114
2014-11-01,54,"良",38,53,13,1,28,14,47
2014-11-02,47,"优",32,47,12,0.7,29,28,44
2014-11-03,76,"良",56,83,21,0.9,37,19,134
2014-11-04,97,"良",73,112,21,1.1,45,11,138
2014-11-05,129,"轻度污染",98,136,23,0.9,44,60,156
2014-11-06,165,"中度污染",125,179,18,1.2,52,26,175
2014-11-07,97,"良",73,96,10,0.8,44,29,161
2014-11-08,85,"良",63,87,18,0.7,35,23,131
2014-11-09,81,"良",60,93,17,0.8,40,18,109
2014-11-10,120,"轻度污染",91,142,16,0.9,39,10,107
