"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,81,"良",60,102,140,1.1,54,63,18
2013-12-03,67,"良",48,84,173,1.4,66,49,4
2013-12-04,96,"良",72,127,128,1.9,68,30,20
2013-12-05,105,"轻度污染",79,143,168,2.1,75,34,42
2013-12-06,171,"中度污染",130,202,234,2.4,101,24,72
2013-12-07,211,"重度污染",161,246,187,3.3,95,15,59
2013-12-08,85,"良",63,106,153,1.4,50,44,17
2013-12-09,66,"良",45,82,142,1.2,54,33,17
2013-12-10,93,"良",70,125,146,2,62,31,30
2013-12-11,74,"良",54,99,138,1.6,63,33,35
2013-12-12,117,"轻度污染",89,144,150,2.1,71,24,53
2013-12-13,197,"中度污染",148,228,213,3.2,89,18,101
2013-12-14,169,"中度污染",129,189,293,2.2,84,13,82
2013-12-15,126,"轻度污染",96,158,225,2,75,27,62
2013-12-16,118,"轻度污染",89,148,149,2,57,31,67
2013-12-17,60,"良",43,70,73,1.1,35,48,45
2013-12-18,71,"良",52,87,100,1.6,46,35,47
2013-12-19,87,"良",65,106,106,1.8,49,43,38
2013-12-20,106,"轻度污染",80,130,246,2,71,22,45
2013-12-21,136,"轻度污染",104,156,239,2,77,22,71
2013-12-22,135,"轻度污染",103,155,122,2.1,61,37,50
2013-12-23,115,"轻度污染",87,136,106,2.3,61,36,30
2013-12-24,161,"中度污染",122,180,157,2.3,76,20,45
2013-12-25,141,"轻度污染",107,170,98,2.3,59,46,35
2013-12-26,52,"良",30,54,78,1.1,43,40,13
2013-12-27,93,"良",70,104,127,1.8,61,23,58
2013-12-28,63,"良",46,74,110,1.5,59,37,15
2013-12-29,100,"良",75,108,132,2.2,72,25,44
2013-12-30,82,"良",45,114,74,1.8,44,67,11
2013-12-31,60,"良",20,69,40,1.1,25,70,3
2014-01-01,72,"良",45,94,77,2.1,54,43,19
2014-01-02,69,"良",50,88,88,1.8,53,41,13
2014-01-03,59,"良",37,67,78,1.6,50,48,14
2014-01-04,57,"良",30,63,57,1.3,41,58,15
2014-01-05,76,"良",53,102,107,2.6,52,39,13
2014-01-06,83,"良",61,116,141,2.9,64,22,25
2014-01-07,73,"良",42,97,139,1.6,51,38,35
2014-01-08,49,"优",25,49,68,1,30,53,27
2014-01-09,60,"良",39,70,95,1.6,41,42,39
2014-01-10,83,"良",61,102,135,2.3,67,27,55
2014-01-11,84,"良",62,101,164,1.9,64,51,50
2014-01-12,57,"良",34,63,123,1.2,49,45,24
2014-01-13,76,"良",56,91,104,2.1,58,37,62
2014-01-14,70,"良",51,90,115,1.9,53,41,47
2014-01-15,88,"良",65,117,175,2.8,59,32,48
2014-01-16,108,"轻度污染",81,140,141,2.7,62,36,48
2014-01-17,92,"良",69,121,160,2,66,39,34
2014-01-18,83,"良",57,117,114,2.3,55,35,22
2014-01-19,76,"良",30,101,81,1.3,27,75,6
2014-01-20,60,"良",38,71,98,1.6,46,47,17
2014-01-21,70,"良",47,89,93,2.1,52,32,40
2014-01-22,130,"轻度污染",99,168,185,3.5,75,32,141
2014-01-23,159,"中度污染",121,209,247,3.9,92,23,148
2014-01-24,167,"中度污染",127,233,233,3.7,91,28,130
2014-01-25,111,"轻度污染",84,158,141,2.7,64,44,82
2014-01-26,153,"中度污染",117,193,249,3.4,89,34,150
2014-01-27,141,"轻度污染",108,195,219,3.1,75,46,144
2014-01-28,79,"良",58,102,115,1.9,53,49,88
2014-01-29,88,"良",62,125,136,1.6,45,63,75
2014-01-30,88,"良",65,111,171,1.5,54,50,41
2014-01-31,154,"中度污染",118,195,196,2.1,56,57,50
2014-02-01,158,"中度污染",120,190,244,2.6,65,64,121
