"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,150,"轻度污染",115,163,119,2.2,79,37,58
2013-12-03,216,"重度污染",166,230,126,2.5,90,26,71
2013-12-04,102,"轻度污染",76,106,90,1.2,57,50,27
2013-12-05,66,"良",45,82,76,0.9,42,40,14
2013-12-06,118,"轻度污染",89,134,77,1.4,59,37,39
2013-12-07,142,"轻度污染",109,153,73,1.6,58,42,31
2013-12-08,109,"轻度污染",82,110,81,1.2,51,20,28
2013-12-09,114,"轻度污染",87,107,61,1.1,53,40,50
2013-12-10,138,"轻度污染",106,131,102,1.2,57,33,82
2013-12-11,151,"中度污染",116,145,83,1.1,54,30,97
2013-12-12,93,"良",69,105,84,0.9,41,34,33
2013-12-13,62,"良",45,66,102,0.7,35,42,13
2013-12-14,69,"良",50,73,100,0.8,39,39,18
2013-12-15,95,"良",71,105,105,1.1,48,35,50
2013-12-16,177,"中度污染",134,159,115,1.9,67,33,89
2013-12-17,273,"重度污染",223,300,106,2.3,74,21,100
2013-12-18,163,"中度污染",124,160,105,1.3,59,27,93
2013-12-19,246,"重度污染",196,235,116,1.7,69,28,94
2013-12-20,134,"轻度污染",102,125,119,1.2,57,27,57
2013-12-21,201,"重度污染",151,191,138,1.6,66,42,88
2013-12-22,189,"中度污染",142,200,110,1.8,70,42,76
2013-12-23,219,"重度污染",169,210,148,1.9,77,41,78
2013-12-24,235,"重度污染",185,248,138,2.3,81,38,72
2013-12-25,189,"中度污染",143,185,121,1.9,69,33,47
2013-12-26,134,"轻度污染",102,126,80,1.2,46,38,57
2013-12-27,153,"中度污染",117,151,124,1.3,59,40,96
2013-12-28,134,"轻度污染",102,149,100,1.3,59,42,88
2013-12-29,108,"轻度污染",81,119,121,1.2,61,44,56
2013-12-30,116,"轻度污染",88,129,106,1.3,63,36,49
2013-12-31,77,"良",44,104,77,0.8,37,48,13
2014-01-01,50,"优",26,51,50,0.6,25,55,2
2014-01-02,75,"良",47,100,64,1,44,47,19
2014-01-03,118,"轻度污染",90,136,79,1.1,54,40,71
2014-01-04,142,"轻度污染",109,148,72,1.5,63,43,112
2014-01-05,245,"重度污染",195,264,92,2.3,82,37,165
2014-01-06,170,"中度污染",129,172,94,1.5,61,53,94
2014-01-07,91,"良",67,98,67,1,37,48,64
2014-01-08,59,"良",34,68,51,0.6,29,53,61
2014-01-09,71,"良",52,83,62,0.8,38,53,86
2014-01-10,79,"良",59,90,78,0.8,44,48,45
2014-01-11,78,"良",57,98,80,0.8,42,49,43
2014-01-12,93,"良",69,101,59,0.8,39,50,87
2014-01-13,114,"轻度污染",86,123,70,1.1,49,52,116
