"日期","AQI","质量等级","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
"2015-04-01",67,"良",48,78,22,1.1,45,65,213
"2015-04-02",59,"良",42,68,20,1.1,27,109,175
"2015-04-03",67,"良",48,74,22,1.1,33,115,194
"2015-04-04",73,"良",54,88,25,0.9,41,95,202
"2015-04-05",103,"轻度污染",78,129,32,1.1,48,130,286
"2015-04-06",95,"良",56,140,21,1,26,113,307
"2015-04-07",56,"良",25,61,18,0.7,23,105,218
"2015-04-08",66,"良",31,64,25,0.9,33,119,236
"2015-04-09",63,"良",19,44,16,0.6,21,115,173
"2015-04-10",73,"良",40,76,18,0.9,27,127,202
"2015-04-11",70,"良",35,73,20,0.8,25,124,157
"2015-04-12",91,"良",42,72,17,0.8,23,149,312
"2015-04-13",63,"良",45,77,17,1,31,79,147
"2015-04-14",98,"良",74,128,42,1.3,41,139,293
"2015-04-15",101,"轻度污染",75,141,31,1.1,48,140,237
"2015-04-16",108,"轻度污染",36,166,23,0.7,30,125,240
"2015-04-17",91,"良",28,133,15,0.6,26,120,161
"2015-04-18",66,"良",26,81,13,0.6,18,114,106
"2015-04-19",68,"良",37,85,13,0.8,34,89,225
"2015-04-20",83,"良",50,116,19,0.8,33,123,302
"2015-04-21",100,"良",64,150,30,1,56,150,328
"2015-04-22",90,"良",57,124,27,0.9,50,148,281
"2015-04-23",126,"轻度污染",74,141,24,1,30,189,343
"2015-04-24",106,"轻度污染",60,162,20,0.8,41,155,307
"2015-04-25",113,"轻度污染",54,133,22,0.8,34,174,281
"2015-04-26",185,"中度污染",98,180,31,1.2,35,250,359
"2015-04-27",172,"中度污染",42,89,16,0.7,20,237,355
"2015-04-28",85,"良",32,71,14,0.6,20,142,222
"2015-04-29",68,"良",35,80,18,0.7,28,121,118
"2015-04-30",63,"良",37,76,17,0.7,29,109,73
"2015-05-01",61,"良",13,28,11,0.6,14,113,110
"2015-05-02",63,"良",14,31,12,0.6,18,115,173
"2015-05-03",95,"良",63,130,19,1,24,154,294
"2015-05-04",95,"良",44,139,21,1,32,148,312
"2015-05-05",100,"良",39,116,25,0.9,30,160,287
"2015-05-06",93,"良",57,130,27,0.9,37,151,243
"2015-05-07",80,"良",54,108,26,0.8,40,136,183
"2015-05-08",66,"良",44,81,17,0.8,36,113,187
"2015-05-09",64,"良",38,77,16,0.7,25,113,187
"2015-05-10",64,"良",25,56,15,0.6,16,117,169
"2015-05-11",61,"良",24,51,18,0.8,25,113,234
"2015-05-12",68,"良",30,85,31,0.7,32,122,186
"2015-05-13",101,"轻度污染",43,127,26,0.8,30,161,306
"2015-05-14",132,"轻度污染",59,214,28,0.9,40,131,353
"2015-05-15",91,"良",48,128,23,0.9,43,149,296
"2015-05-16",103,"轻度污染",49,112,28,0.9,48,163,311
"2015-05-17",89,"良",29,75,20,0.7,21,147,236
"2015-05-18",91,"良",52,106,25,0.9,33,149,250
"2015-05-19",95,"良",63,141,24,1,44,133,265
"2015-05-20",82,"良",30,113,26,0.9,60,123,252
"2015-05-21",75,"良",33,100,32,1,69,129,224
"2015-05-22",80,"良",15,44,23,0.8,24,136,213
"2015-05-23",75,"良",23,55,19,0.6,19,130,185
"2015-05-24",61,"良",27,54,15,0.6,17,113,101
"2015-05-25",58,"良",35,65,16,0.8,19,103,94
"2015-05-26",55,"良",23,53,18,0.6,23,106,87
"2015-05-27",54,"良",19,47,19,0.6,24,105,73
"2015-05-28",54,"良",24,52,20,0.6,22,105,94
"2015-05-29",64,"良",23,51,17,0.6,25,117,199
"2015-05-30",79,"良",32,74,20,0.8,35,135,269
"2015-05-31",91,"良",23,59,22,0.8,32,149,233
"2015-06-01",81,"良",28,60,16,0.7,17,137,189
"2015-06-02",68,"良",30,64,14,0.7,19,121,227
"2015-06-03",76,"良",31,102,23,0.9,48,131,291
"2015-06-04",76,"良",26,96,31,0.9,52,131,268
"2015-06-05",128,"轻度污染",35,95,26,1,31,191,348
"2015-06-06",182,"中度污染",58,137,19,1,21,247,365
